state,region,regcode,rate1988,rate1992,rate1996,provide1988,provide1992,lowhigh
alabama,south,3,18.7,18.2,15.6,20,20,1
alaska,west,4,18.2,16.5,14.6,12,13,1
arizona,west,4,28.8,24.1,19.8,29,28,2
arkansas,south,3,11.6,13.5,11.4,10,8,1
california,west,4,45.9,42.1,33,608,554,2
colorado,west,4,22.4,23.6,20.9,61,59,2
connecticut,northeast,1,31.2,26.2,22.5,43,43,2
delaware,northeast,1,35.6,35.2,24.1,10,8,2
dist of columbia,northeast,1,163.3,138.4,154.5,17,15,2
florida,south,3,31.5,30,32,143,133,2
georgia,south,3,23.5,24,21.1,55,55,2
hawaii,west,4,43,46,27.3,53,52,2
idaho,west,4,8.2,7.2,6.1,9,9,1
illinois,midwest,2,26.4,25.4,26.1,52,47,2
indiana,midwest,2,11.9,12,11.2,24,19,1
iowa,midwest,2,14.6,11.4,9.4,16,11,1
kansas,midwest,2,20.1,22.4,18.9,19,15,2
kentucky,south,3,13,11.4,9.6,9,9,1
louisiana,south,3,16.3,13.4,14.7,13,17,1
maine,northeast,1,16.2,14.7,9.7,21,17,1
maryland,south,3,28.6,26.4,26.3,53,51,2
massachusetts,northeast,1,30.2,28.4,29.3,64,64,2
michigan,midwest,2,28.5,25.2,22.3,78,70,2
minnesota,midwest,2,18.2,15.6,13.9,13,14,1
mississippi,south,3,8.4,12.4,7.2,5,8,1
missouri,midwest,2,16.4,11.6,9.1,20,12,1
montana,west,4,16.5,18.2,15.6,13,12,1
nebraska,midwest,2,17.7,15.7,12.3,9,9,1
nevada,west,4,40.3,44.2,44.6,20,17,2
new hampshire,northeast,1,17.5,14.6,12.7,15,16,1
new jersey,northeast,1,35.1,31,35.8,89,88,2
new mexico,west,4,19.1,17.7,14.4,24,20,1
new york,northeast,1,43.3,46.2,41.1,305,289,2
north carolina,south,3,25.4,22.4,20.2,97,86,2
north dakota,midwest,2,14.9,10.7,9.4,3,1,1
ohio,midwest,2,21,19.5,17,53,45,1
oklahoma,south,3,16.2,12.5,11.8,13,11,1
oregon,west,4,23.9,23.9,21.6,45,40,2
pennsylvania,northeast,1,18.9,18.6,15.2,90,81,1
rhode island,northeast,1,30.6,30,24.4,6,6,2
south carolina,south,3,16.7,14.2,11.6,15,18,1
south dakota,midwest,2,5.7,6.8,6.5,1,1,1
tennessee,south,3,18.9,16.2,14.8,41,33,1
texas,south,3,24.8,23.1,20.7,91,79,2
utah,west,4,12.8,9.3,7.8,8,6,1
vermont,northeast,1,25.8,21.2,17.1,16,16,2
virginia,south,3,23.7,22.7,18.9,73,64,2
washington,west,4,27.6,27.7,20.9,68,65,2
west virginia,south,3,7.5,7.7,6.6,6,5,1
wisconsin,midwest,2,16,13.6,12.3,17,16,1
wyoming,west,4,5.1,4.3,2.7,7,5,1
