state,payment
Alabama,57.16
Alaska,253.54
Arizona,114.23
Arkansas,68.22
California,199.57
Colorado,110.86
Connecticut,199.3
Delaware,119.63
District of Colunbia,138.33
Florida,99.63
Georgia,90.78
Hawaii,213.96
Idaho,111.68
Illinois,108.82
Indiana,86.83
Iowa,134.72
Kansas,119.1
Kentucky,78.04
Louisiana,56.29
Maine,144.74
Maryland,119.26
Massachusetts,192.13
Michigan,144.37
Minnesota,167.91
Mississippi,42.29
Missour,91.2
Montana,113.24
Nebraska,113.75
Nevada,104.13
New Hampshire,158.41
New Jersey,127.27
New Mexico,103.54
New York,197.61
North Carolina,88.86
North Dakota,126.34
Ohio,113.72
Oklahoma,104.17
Oregon,143.45
Pennsylvania,125.61
Rhode Island,182.19
South Carolina,67.05
South Dakota,103.79
Tennessee,59.12
Texas,56.91
Utah,123.48
Vermont,192.31
Virginia,99.37
Washington,174.26
West Virginia,85.56
Wisconsin,155.37
Wyoming,120.93
