year,deaths,1950,1960,1970,1980,1990
1937,36,87,134,102,87,132
1944,61,11,107,112,301,223
1945,14,129,130,108,178,261
1952,87,66,113,101,78,137
1953,11,44,101,75,153,113
1953,129,74,118,162,269,120
1955,66,128,121,111,183,125
1955,44,,117,156,148,264
1956,74,,133,176,329,160
1956,128,,124,155,137,132
1960,134,,129,101,520,68
1962,107,,126,176,256,65
1962,130,,82,108,166,160
1962,113,,122,104,82,350
1963,101,,85,14,183,189
1963,118,,155,122,156,35
1965,121,,93,89,159,110
1966,117,,,106,155,230
1966,133,,,346,137,141
1966,124,,,107,290,70
1966,129,,,92,270,98
1967,126,,,191,144,143
1967,82,,,172,168,349
1968,122,,,113,111,127
1968,85,,,188,171,29
1969,155,,,176,,73
1969,93,,,155,,35
1970,102,,,100,,44
1970,112,,,582,,228
1970,108,,,130,,64
1970,101,,,100,,33
1970,75,,,29,,234
1971,162,,,213,,74
1971,111,,,150,,67
1972,156,,,183,,85
1972,176,,,275,,70
1972,155,,,173,,104
1972,101,,,156,,50
1973,176,,,257,,104
1973,108,,,,,203
1973,104,,,,,53
1973,14,,,,,229
1973,122,,,,,38
1973,89,,,,,40
1973,106,,,,,101
1974,346,,,,,28
1974,107,,,,,8
1974,92,,,,,61
1974,191,,,,,74
1975,172,,,,,12
1975,113,,,,,
1975,188,,,,,
1976,176,,,,,
1976,155,,,,,
1976,100,,,,,
1977,582,,,,,
1977,130,,,,,
1977,100,,,,,
1977,29,,,,,
1978,213,,,,,
1978,150,,,,,
1978,183,,,,,
1979,275,,,,,
1979,173,,,,,
1979,156,,,,,
1979,257,,,,,
1980,87,,,,,
1980,301,,,,,
1981,178,,,,,
1982,78,,,,,
1982,153,,,,,
1983,269,,,,,
1983,183,,,,,
1985,148,,,,,
1985,329,,,,,
1985,137,,,,,
1985,520,,,,,
1985,256,,,,,
1986,166,,,,,
1986,82,,,,,
1987,183,,,,,
1987,156,,,,,
1987,159,,,,,
1987,155,,,,,
1988,137,,,,,
1988,290,,,,,
1988,270,,,,,
1989,144,,,,,
1989,168,,,,,
1989,111,,,,,
1989,171,,,,,
1990,132,,,,,
1991,223,,,,,
1991,261,,,,,
1991,137,,,,,
1992,113,,,,,
1992,120,,,,,
1994,125,,,,,
1994,264,,,,,
1994,160,,,,,
1994,132,,,,,
1994,68,,,,,
1995,65,,,,,
1995,160,,,,,
1996,350,,,,,
1996,189,,,,,
1996,35,,,,,
1996,110,,,,,
1996,230,,,,,
1996,141,,,,,
1996,70,,,,,
1996,98,,,,,
1996,143,,,,,
1996,349,,,,,
1996,127,,,,,
1997,29,,,,,
1997,73,,,,,
1997,35,,,,,
1997,44,,,,,
1997,228,,,,,
1997,64,,,,,
1997,33,,,,,
1997,234,,,,,
1997,74,,,,,
1997,67,,,,,
1997,85,,,,,
1997,70,,,,,
1997,104,,,,,
1998,50,,,,,
1998,104,,,,,
1998,203,,,,,
1998,53,,,,,
1998,229,,,,,
1998,38,,,,,
1998,40,,,,,
1998,101,,,,,
1999,28,,,,,
1999,8,,,,,
1999,61,,,,,
1999,74,,,,,
1999,12,,,,,
