Cost,Region,Rural,Regional,Metropol
3821,1,3821,5498,4257
3981,1,3981,6046,6163
3931,1,3931,4775,6266
5498,2,5582,4844,2478
5582,1,4591,4026,2251
6046,2,3840,4347,5143
4257,3,4053,6389,4532
4591,1,5104,2659,4212
4775,2,4673,4072,3556
6163,3,3935,3441,3362
3840,1,5442,3677,4508
4053,1,5159,5299,3366
4844,2,2861,3822,5506
6266,3,5012,5119,4950
4026,2,4891,4071,
2478,3,4887,4336,
4347,2,3597,,
5104,1,4210,,
4673,1,4175,,
6389,2,3628,,
3935,1,4519,,
2659,2,5693,,
4072,2,8000,,
5442,1,6439,,
5159,1,3987,,
2861,1,3997,,
5012,1,2671,,
2251,3,4683,,
3441,2,4896,,
5143,3,,,
3677,2,,,
4891,1,,,
4887,1,,,
5299,2,,,
3597,1,,,
4210,1,,,
4532,3,,,
4212,3,,,
3822,2,,,
3556,3,,,
4175,1,,,
3628,1,,,
4519,1,,,
5693,1,,,
8000,1,,,
5119,2,,,
3362,3,,,
4508,3,,,
6439,1,,,
4071,2,,,
3366,3,,,
5506,3,,,
3987,1,,,
3997,1,,,
2671,1,,,
4683,1,,,
4950,3,,,
4336,2,,,
4896,1,,,
