phase1,phase2,phase3,phase4,age,phase
2530,2290,2230,2140,2530,1
2420,2330,2060,2030,2420,1
2160,2340,2210,2100,2160,1
2770,2270,2120,2110,2770,1
2370,2140,2380,2060,2370,1
2440,2300,2220,1990,2440,1
2330,2120,2210,2170,2330,1
2300,2580,2090,2040,2300,1
2460,2180,2210,2160,2460,1
2210,,2470,2200,2210,1
2450,,2520,2300,2450,1
,,2330,2060,2290,2
,,2090,2170,2330,2
,,2110,2370,2340,2
,,2250,2120,2270,2
,,2280,2150,2140,2
,,2300,1980,2300,2
,,,2260,2120,2
,,,2090,2580,2
,,,2120,2180,2
,,,2000,2230,3
,,,2130,2060,3
,,,1900,2210,3
,,,,2120,3
,,,,2380,3
,,,,2220,3
,,,,2210,3
,,,,2090,3
,,,,2210,3
,,,,2470,3
,,,,2520,3
,,,,2330,3
,,,,2090,3
,,,,2110,3
,,,,2250,3
,,,,2280,3
,,,,2300,3
,,,,2140,4
,,,,2030,4
,,,,2100,4
,,,,2110,4
,,,,2060,4
,,,,1990,4
,,,,2170,4
,,,,2040,4
,,,,2160,4
,,,,2200,4
,,,,2300,4
,,,,2060,4
,,,,2170,4
,,,,2370,4
,,,,2120,4
,,,,2150,4
,,,,1980,4
,,,,2260,4
,,,,2090,4
,,,,2120,4
,,,,2000,4
,,,,2130,4
,,,,1900,4
