ANGLES,ORIOLES,REDSOXS,WHITESOXS,INDIANS
7166667,11949794,11000000,7000000,8175000
5800000,6523143,6350000,5000000,7500000
5500000,6300000,4750000,3400000,7000000
5450000,6079931,4000000,1900000,6560461
4600000,5674897,3750000,1100000,6000000
3550000,5250000,3500000,850000,5650000
3125000,4920840,3500000,400000,4500000
2100000,4053092,3500000,285000,4100000
1600000,3605516,3400000,275000,3000000
1575000,3600000,2700000,275000,2700000
1350000,3350000,2400000,255000,2637500
825000,3083333,2100000,255000,2000000
805000,2250000,1600000,255000,1475000
800000,2200000,1300000,235000,1300000
800000,1960000,1250000,230000,1067667
800000,1500000,1250000,230000,812500
700000,1100000,1100000,230000,687500
625000,800000,750000,215000,625000
600000,800000,500000,215000,500000
500000,760000,500000,205000,450000
375000,750000,350000,200000,450000
305000,525000,245000,200000,400000
290000,500000,237500,200000,225000
280000,300000,215000,200000,219000
276000,250000,200000,200000,214000
230000,200000,200000,200000,209000
225000,200000,200000,200000,205000
215000,,,,203000
215000,,,,
212500,,,,
210000,,,,
208000,,,,
200000,,,,
