rate,year,school,status
78,1984-1985,Illinois,student
53,1984-1985,Indiana,student
62,1984-1985,Iowa,student
81,1984-1985,Michigan,student
66,1984-1985,Michigan State,student
34,1984-1985,Minnesota,student
87,1984-1985,Northwestern,student
51,1984-1985,Ohio State,student
73,1984-1985,Penn State,student
68,1984-1985,Purdue,student
66,1984-1985,Wisconsin,student
67,1984-1985,Illinois,athlete
58,1984-1985,Indiana,athlete
64,1984-1985,Iowa,athlete
66,1984-1985,Michigan,athlete
64,1984-1985,Michigan State,athlete
44,1984-1985,Minnesota,athlete
81,1984-1985,Northwestern,athlete
55,1984-1985,Ohio State,athlete
63,1984-1985,Penn State,athlete
60,1984-1985,Purdue,athlete
62,1984-1985,Wisconsin,athlete
75,1993-1994,Illinois,student
68,1993-1994,Indiana,student
62,1993-1994,Iowa,student
82,1993-1994,Michigan,student
64,1993-1994,Michigan State,student
51,1993-1994,Minnesota,student
92,1993-1994,Northwestern,student
56,1993-1994,Ohio State,student
80,1993-1994,Penn State,student
64,1993-1994,Purdue,student
74,1993-1994,Wisconsin,student
65,1993-1994,Illinois,athlete
66,1993-1994,Indiana,athlete
71,1993-1994,Iowa,athlete
68,1993-1994,Michigan,athlete
56,1993-1994,Michigan State,athlete
65,1993-1994,Minnesota,athlete
93,1993-1994,Northwestern,athlete
50,1993-1994,Ohio State,athlete
78,1993-1994,Penn State,athlete
72,1993-1994,Purdue,athlete
55,1993-1994,Wisconsin,athlete
