State,1990rate,1998rate
Alabama,16.2,14.3
Alaska,21.8,16.2
Arizona,18.9,16.8
Arkansas,14.7,14.5
California,20.7,16
Colorado,16,15
Connecticut,16.1,13.4
Delaware,17.1,14.2
District of Colunbia,36.8,14.7
Florida,15.3,13.1
Georgia,17.6,16
Hawaii,18.1,14.7
Idaho,16,15.8
Illinois,16.4,15.2
Indiana,15.1,14.4
Iowa,13.9,13
Kansas,15.4,14.6
Kentucky,15.2,13.8
Louisiana,16.5,15.3
Maine,13.1,11
Maryland,15.9,14
Massachusetts,16,13.2
Michigan,16.9,13.6
Minnesota,15.5,13.8
Mississippi,16.4,15.6
Missour,16,13.9
Montana,14.2,12.3
Nebraska,15,14.2
Nevada,18.1,16.4
New Hampshire,15,12.2
New Jersey,15.5,14.1
New Mexico,18.3,15.7
New York,16.8,14.2
North Carolina,15.8,14.8
North Dakota,16,12.4
Ohio,15.1,13.6
Oklahoma,14.3,14.8
Oregon,15.9,13.8
Pennsylvania,14.2,12.2
Rhode Island,15.6,12.7
South Carolina,15.9,14
South Dakota,15.2,13.9
Tennessee,15.6,14.3
Texas,19.2,17.3
Utah,21.6,21.5
Vermont,14,11.1
Virginia,15.6,13.9
Washington,15.8,14
West Virginia,12.6,11.5
Wisconsin,14.8,12.9
Wyoming,13.9,13
