Active,Nonactive,Density,group,Ranks
213,201,213,1,45
227,205,227,1,62
211,187,211,1,40.5
208,208,208,1,31.5
155,203,155,1,1
204,265,204,1,22.5
216,201,216,1,51.5
219,210,219,1,57
224,219,224,1,60
202,205,202,1,17
207,173,207,1,28
212,202,212,1,42.5
184,199,184,1,6
214,216,214,1,48
245,192,245,1,67
210,207,210,1,38
192,243,192,1,9.5
218,194,218,1,55
219,201,219,1,57
163,217,163,1,3
230,270,230,1,63
214,209,214,1,48
209,185,209,1,35
210,176,210,1,38
226,202,226,1,61
203,211,203,1,20
208,213,208,1,31.5
207,208,207,1,28
217,236,217,1,53.5
257,214,257,1,68
212,209,212,1,42.5
203,162,203,1,20
232,204,232,1,64
221,206,221,1,59
215,213,215,1,50
,,201,2,14
,,205,2,24.5
,,187,2,8
,,208,2,31.5
,,203,2,20
,,265,2,69
,,201,2,14
,,210,2,38
,,219,2,57
,,205,2,24.5
,,173,2,4
,,202,2,17
,,199,2,12
,,216,2,51.5
,,192,2,9.5
,,207,2,28
,,243,2,66
,,194,2,11
,,201,2,14
,,217,2,53.5
,,270,2,70
,,209,2,35
,,185,2,7
,,176,2,5
,,202,2,17
,,211,2,40.5
,,213,2,45
,,208,2,31.5
,,236,2,65
,,214,2,48
,,209,2,35
,,162,2,2
,,204,2,22.5
,,206,2,26
,,213,2,45
