StoreA,StoreB,StoreC,Dollars,Store,Ranks
23,16,10,23,1,4
27,24,17,27,1,7
31,34,26,31,1,11.5
35,35,28,35,1,19
36,36,30,36,1,22.5
36,39,30,36,1,22.5
38,40,31,38,1,27
39,41,32,39,1,29
40,41,33,40,1,32
41,43,33,41,1,36
41,44,34,41,1,36
42,45,35,42,1,39
43,45,36,43,1,40.5
44,46,37,44,1,43.5
44,47,37,44,1,43.5
45,48,39,45,1,47
46,49,40,46,1,50
46,49,41,46,1,50
47,51,44,47,1,53
48,53,47,48,1,55.5
50,63,52,50,1,59
51,65,59,51,1,60.5
54,,64,54,1,64
56,,66,56,1,65
64,,,64,1,68.5
68,,,68,1,72
,,,16,2,2
,,,24,2,5
,,,34,2,16.5
,,,35,2,19
,,,36,2,22.5
,,,39,2,29
,,,40,2,32
,,,41,2,36
,,,41,2,36
,,,43,2,40.5
,,,44,2,43.5
,,,45,2,47
,,,45,2,47
,,,46,2,50
,,,47,2,53
,,,48,2,55.5
,,,49,2,57.5
,,,49,2,57.5
,,,51,2,60.5
,,,53,2,63
,,,63,2,67
,,,65,2,70
,,,10,3,1
,,,17,3,3
,,,26,3,6
,,,28,3,8
,,,30,3,9.5
,,,30,3,9.5
,,,31,3,11.5
,,,32,3,13
,,,33,3,14.5
,,,33,3,14.5
,,,34,3,16.5
,,,35,3,19
,,,36,3,22.5
,,,37,3,25.5
,,,37,3,25.5
,,,39,3,29
,,,40,3,32
,,,41,3,36
,,,44,3,43.5
,,,47,3,53
,,,52,3,62
,,,59,3,66
,,,64,3,68.5
,,,66,3,71
