Species,body wt,brain wt,logbody,logbrain
Mt Beaver,1.350000024,8.1,0.130333781,0.908485055
Cow,465,423,2.667453051,2.626340389
Gray wolf,36.33000183,119.5,1.560265422,2.077368021
Goat,27.65999985,115,1.441852212,2.060697794
Guinea Pig,1.039999962,5.5,0.017033324,0.740362704
Diplodocus,11700,50,4.068185806,1.69896996
Asian Elephant,2547,4603,3.406028986,3.663040876
Donkey,187.1000061,419,2.272073746,2.622214079
Horse,521,655,2.716837645,2.816241264
Potar monkey,10,115,1,2.060697794
Cat,3.299999952,25.6,0.518513918,1.408239961
Giraffe,529,680,2.723455667,2.832508802
Gorilla,207,406,2.315970421,2.608525991
Human,62,1320,1.792391658,3.120573997
Africian elephant,6654,5712,3.823082685,3.756788254
Triceratops,9400,70,3.973127842,1.845098019
Rhesus monkey,6.800000191,179,0.832508922,2.252852917
Kangaroo,35,56,1.544068098,1.748188019
Hamster,0.119999997,1,-0.920818746,0
Mouse,0.023,0.4,-1.638272166,-0.39794001
Rabbit,2.5,12.1,0.39794001,1.082785368
Sheep,55.5,175,1.744292974,2.243037939
Jaguar,100,157,2,2.195899725
Chimpanzee,52.15999985,440,1.717337608,2.643452644
Brachiosaurus,87000,154.5,4.939519405,2.188928366
Rat,0.280000001,1.9,-0.552841961,0.278753608
Mole,0.122000001,3,-0.913640141,0.477121264
Pig,192,180,2.283301115,2.255272388
