wafer1,wafer2,thickness
940,985,962.5
1042.5,1052.5,1047.5
942.5,990,966.25
1007.5,990,998.75
985,917.5,951.25
925,930,927.5
1072.5,1120,1096.25
1070,1082.5,1076.25
1047.5,1057.5,1052.5
982.5,1002.5,992.5
1050,1020,1035
1057.5,1060,1058.75
1057.5,1010,1033.75
1070,1030,1050
970,1002.5,986.25
997.5,1005,1001.25
1107.5,1095,1101.25
932.5,1000,966.25
960,1042.5,1001.25
1000,1007.5,1003.75
1105,1067.5,1086.25
1037.5,1097.5,1067.5
1037.5,1015,1026.25
1015,1102.5,1058.75
1002.5,1057.5,1030
972.5,1097.5,1035
1070,1007.5,1038.75
1005,930,967.5
842.5,887.5,865
1057.5,955,1006.25
