wafer11,wafer12,wafer13,wafer14,wafer21,wafer22,wafer23,wafer24
950,930,950,930,1010,980,970,980
1050,1050,1030,1040,1050,1050,1050,1060
940,960,940,930,1000,980,960,1020
990,1020,1020,1000,980,990,1000,990
980,980,980,1000,900,920,910,940
900,940,930,930,930,930,960,900
1050,1070,1100,1070,1110,1130,1100,1140
1100,1060,1070,1050,1070,1090,1110,1060
1070,1030,1070,1020,1020,1070,1090,1050
1000,950,1010,970,1020,980,990,1020
1050,1060,1040,1050,1060,1030,1010,980
1050,1060,1060,1060,1060,1070,1050,1060
1050,1010,1080,1090,1010,1040,980,1010
1070,1080,1070,1060,1020,1020,1040,1040
1000,950,960,970,980,1000,1010,1020
990,990,1020,990,1000,1010,1000,1010
1120,1080,1110,1120,1100,1090,1070,1120
930,950,930,920,990,1000,1010,1000
960,960,940,980,1020,1050,1060,1040
970,990,1040,1000,1000,1040,980,1010
1100,1120,1120,1080,1060,1070,1090,1050
1040,1020,1040,1050,1120,1100,1080,1090
1030,1050,1010,1060,1010,1000,1020,1030
1030,1020,1000,1010,1100,1120,1110,1080
1010,1030,970,1000,1030,1110,1030,1060
1000,960,970,960,1090,1120,1080,1100
1100,1060,1040,1080,1020,1000,1020,990
1030,990,1020,980,920,920,970,910
840,850,830,850,840,900,910,900
1040,1060,1060,1070,960,930,950,980
