brandA,brandB,brandC,brandD,tar,brand
0.41,0.43,0.52,0.43,0.41,1
0.48,0.49,0.48,0.55,0.48,1
0.44,0.52,0.67,0.71,0.44,1
0.37,0.65,0.49,0.65,0.37,1
0.31,0.63,0.38,0.47,0.31,1
0.4,0.55,0.57,0.63,0.4,1
0.53,0.38,0.7,0.4,0.53,1
0.32,0.41,0.45,0.55,0.32,1
0.35,0.58,0.47,0.56,0.35,1
0.52,0.63,0.55,0.32,0.52,1
0.4,0.53,0.49,0.54,0.4,1
0.51,0.57,0.56,0.58,0.51,1
0.53,0.68,0.51,0.42,0.53,1
0.29,0.44,0.6,0.39,0.29,1
0.39,0.35,0.41,0.58,0.39,1
0.48,0.53,0.65,0.46,0.48,1
0.58,0.52,0.57,0.48,0.58,1
0.46,0.43,0.39,0.52,0.46,1
0.59,0.57,0.54,0.38,0.59,1
0.5,0.48,0.61,0.47,0.5,1
0.47,0.55,0.53,0.53,0.47,1
0.51,0.41,0.68,0.61,0.51,1
0.33,0.44,0.5,0.59,0.33,1
0.56,0.53,0.58,0.63,0.56,1
0.61,0.44,0.49,0.44,0.61,1
,,,,0.43,2
,,,,0.49,2
,,,,0.52,2
,,,,0.65,2
,,,,0.63,2
,,,,0.55,2
,,,,0.38,2
,,,,0.41,2
,,,,0.58,2
,,,,0.63,2
,,,,0.53,2
,,,,0.57,2
,,,,0.68,2
,,,,0.44,2
,,,,0.35,2
,,,,0.53,2
,,,,0.52,2
,,,,0.43,2
,,,,0.57,2
,,,,0.48,2
,,,,0.55,2
,,,,0.41,2
,,,,0.44,2
,,,,0.53,2
,,,,0.44,2
,,,,0.52,3
,,,,0.48,3
,,,,0.67,3
,,,,0.49,3
,,,,0.38,3
,,,,0.57,3
,,,,0.7,3
,,,,0.45,3
,,,,0.47,3
,,,,0.55,3
,,,,0.49,3
,,,,0.56,3
,,,,0.51,3
,,,,0.6,3
,,,,0.41,3
,,,,0.65,3
,,,,0.57,3
,,,,0.39,3
,,,,0.54,3
,,,,0.61,3
,,,,0.53,3
,,,,0.68,3
,,,,0.5,3
,,,,0.58,3
,,,,0.49,3
,,,,0.43,4
,,,,0.55,4
,,,,0.71,4
,,,,0.65,4
,,,,0.47,4
,,,,0.63,4
,,,,0.4,4
,,,,0.55,4
,,,,0.56,4
,,,,0.32,4
,,,,0.54,4
,,,,0.58,4
,,,,0.42,4
,,,,0.39,4
,,,,0.58,4
,,,,0.46,4
,,,,0.48,4
,,,,0.52,4
,,,,0.38,4
,,,,0.47,4
,,,,0.53,4
,,,,0.61,4
,,,,0.59,4
,,,,0.63,4
,,,,0.44,4
