city,year1980,year1990
New York,33.7,31.1
Washington,27.2,29.5
Houston,25.9,29.5
Chicago,26.3,28.1
Los Angeles,23.6,26.4
Atlanta,24.9,26
Baltimore,25.3,26
San Francisco,23.9,25.6
New Orleans,24.5,24.4
Seattle,22.8,24.3
Boston,23.4,24.2
Dallas,22.4,24.1
Miami,22.6,24.1
Philadelphia,24,24.1
Detroit,22.5,23.4
St. Louis,22.6,23.1
Phoenix,21.6,23
Orlando,20.3,22.9
Pittsburgh,22.8,22.6
Denver,22,22.4
San Diego,19.5,22.2
Cincinnati,21.8,22.1
Cleveland,21.6,22
San Antonio,20.2,21.9
Indianapolis,20.8,21.9
Sacramento,19.5,21.8
Tampa,20.2,21.8
Portland,21.4,21.7
Charlotte,19.9,21.6
Norfolk,21,21.6
Kansas City,20.7,21.4
Minneapolis,20.1,21.1
Columbus,20.1,21.2
Hartford,20.1,20.6
Milwaukee,18.8,20
Salt Lake City,20.2,19.8
Rochester,19.3,19.7
Providence,18.3,19.6
Buffalo,19.3,19.4
