State,1983,1993
Alabama,416,871.7
Alaska,613.8,660.5
Arizona,494.2,670.8
Arkansas,297.7,576.5
California,772.6,1119.7
Colorado,476.4,578.8
Connecticut,375,495.3
Delaware,453.1,621.2
DC,1985.4,2832.8
Florida,826.7,1207.2
Georgia,456.7,733.2
Hawaii,252.1,258.4
Idaho,238.7,281.4
Illinois,553,977.3
Indiana,283.8,508.3
Iowa,181.1,278
Kansas,326.6,510.8
Kentucky,322.2,535.5
Louisiana,640.9,984.6
Maine,159.6,130.9
Maryland,807.1,1000.1
Massachusetts,576.8,779
Michigan,716.7,770.1
Minnesota,190.9,338
Mississippi,280.4,411.7
Missour,477.2,740.4
Montana,212.6,169.9
Nebraska,217.7,348.6
Nevada,655.2,696.8
New Hampshire,125.1,125.7
New Jersey,553.1,625.8
New Mexico,686.8,934.9
New York,914.1,1122.1
North Carolina,409.6,681
North Dakota,53.7,83.3
Ohio,397.9,525.9
Oklahoma,423.4,622.8
Oregon,487.8,510.2
Pennsylvania,342.8,427
Rhode Island,355.2,394.5
South Carolina,616.8,944.5
South Dakota,120,194.5
Tennessee,402,746.2
Texas,512.2,806.3
Utah,256,290.5
Vermont,132.6,109.5
Virginia,292.5,374.9
Washington,371.8,534.5
West Virginia,171.8,211.5
Wisconsin,190.9,275.7
Wyoming,237.2,319.5
