pot,cross,self,height,method,differ,sgnrnks
1,23.5,17.375,23.5,1,6.125,11
1,12,20.375,12,1,-8.375,-14
1,21,20,21,1,1,2
2,22,20,22,1,2,4
2,19.125,18.375,19.125,1,0.75,1
2,21.5,18.625,21.5,1,2.875,5
3,22.125,18.625,22.125,1,3.5,7
3,20.375,15.25,20.375,1,5.125,9
3,18.25,16.5,18.25,1,1.75,3
3,21.625,18,21.625,1,3.625,8
4,23.25,16.25,23.25,1,7,12
4,21,18,21,1,3,6
4,22.125,12.75,22.125,1,9.375,15
4,23,15.5,23,1,7.5,13
,12,18,12,1,-6,-10
,,,17.375,2,,
,,,20.375,2,,
,,,20,2,,
,,,20,2,,
,,,18.375,2,,
,,,18.625,2,,
,,,18.625,2,,
,,,15.25,2,,
,,,16.5,2,,
,,,18,2,,
,,,16.25,2,,
,,,18,2,,
,,,12.75,2,,
,,,15.5,2,,
,,,18,2,,
