breed,ranking,year
Labrador,1,1992
Rotweiler,2,1992
Shepherd,4,1992
Spaniel,3,1992
Retriever,6,1992
Poodle,5,1992
Beagle,7,1992
Dachshund,8,1992
Dalmatian,15,1992
Shetland,9,1992
Pomeranian,12,1992
Yorkshire,14,1992
ShihTzu,11,1992
Schnauzer,13,1992
Chow,10,1992
Chihuahua,16,1992
Boxer,17,1992
Huskie,18,1992
Doberman,20,1992
Springer,19,1992
Labrador,1,1993
Rotweiler,2,1993
Shepherd,3,1993
Spaniel,4,1993
Retriever,5,1993
Poodle,6,1993
Beagle,7,1993
Dachshund,8,1993
Dalmatian,9,1993
Shetland,10,1993
Pomeranian,11,1993
Yorkshire,12,1993
ShihTzu,13,1993
Schnauzer,14,1993
Chow,15,1993
Chihuahua,16,1993
Boxer,17,1993
Huskie,18,1993
Doberman,19,1993
Springer,20,1993
Labrador,1,1997
Rotweiler,2,1997
Shepherd,3,1997
Spaniel,8,1997
Retriever,4,1997
Poodle,5,1997
Beagle,6,1997
Dachshund,7,1997
Dalmatian,12,1997
Shetland,15,1997
Pomeranian,10,1997
Yorkshire,9,1997
ShihTzu,11,1997
Schnauzer,14,1997
Chow,35,1997
Chihuahua,12,1997
Boxer,13,1997
Huskie,16,1997
Doberman,22,1997
Springer,25,1997
Labrador,1,1998
Rotweiler,4,1998
Shepherd,3,1998
Spaniel,13,1998
Retriever,2,1998
Poodle,7,1998
Beagle,6,1998
Dachshund,5,1998
Dalmatian,30,1998
Shetland,15,1998
Pomeranian,10,1998
Yorkshire,9,1998
ShihTzu,11,1998
Schnauzer,14,1998
Chow,39,1998
Chihuahua,8,1998
Boxer,12,1998
Huskie,18,1998
Doberman,22,1998
Springer,27,1998
