Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb
MINICOMPACT CARS,AUDI,TT COUPE,1.8,4,Manual(M5),F,22,31,25
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M5),4,20,29,23
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M6),4,20,28,23
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Manual(M5),R,19,27,22
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Auto(S5),R,19,26,21
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Manual(M5),R,20,28,23
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Auto(S5),R,18,26,21
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Manual(M6),R,16,23,18
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4,8,Auto(L5),R,17,24,20
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4,8,Auto(L5),R,16,22,19
MINICOMPACT CARS,MERCEDES-BENZ,CLK320 (CABRIOLET),3.2,6,Auto(L5),R,20,28,23
MINICOMPACT CARS,MERCEDES-BENZ,CLK430 (CABRIOLET),4.3,8,Auto(L5),R,18,24,20
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,22,30,25
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,20,27,23
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Manual(M5),F,20,27,22
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Auto(S4),F,19,26,22
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Manual(M6),R,17,25,20
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Manual(M6),4,17,24,19
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Auto(S5),R,16,25,19
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Auto(S5),4,16,24,19
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Manual(M6),4,15,22,18
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Auto(S5),4,15,22,17
