Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb
TWO SEATERS,ACURA,NSX,3,6,Auto(S4),R,17,24,20
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,17,24,19
TWO SEATERS,AUDI,TT ROADSTER,1.8,4,Manual(M5),F,22,30,25
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,1.8,4,Manual(M6),4,20,28,23
TWO SEATERS,BMW,Z3 COUPE,3,6,Manual(M5),R,21,28,24
TWO SEATERS,BMW,Z3 COUPE,3,6,Auto(S5),R,19,27,22
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Manual(M5),R,20,27,23
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Auto(S5),R,19,26,22
TWO SEATERS,BMW,Z3 ROADSTER,3,6,Manual(M5),R,21,28,24
TWO SEATERS,BMW,Z3 ROADSTER,3,6,Auto(S5),R,19,25,21
TWO SEATERS,BMW,Z8,4.9,8,Manual(M6),R,13,21,16
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,18,26,21
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,19,28,22
TWO SEATERS,DODGE,VIPER CONVERTIBLE,8,10,Manual(M6),R,11,21,14
TWO SEATERS,DODGE,VIPER COUPE,8,10,Manual(M6),R,11,21,14
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Manual(M6),R,11,16,13
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Auto(S6),R,10,16,12
TWO SEATERS,FERRARI,FERRARI 550 MARANELLO/BARCHETTA,5.5,12,Manual(M6),R,8,13,10
TWO SEATERS,HONDA,INSIGHT,1,3,Manual(M5),F,61,68,64
TWO SEATERS,HONDA,S2000,2,4,Manual(M6),R,20,26,22
TWO SEATERS,LAMBORGHINI,DB132/144 DIABLO,6,12,Manual(M5),4,10,13,11
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Auto(L4),R,22,28,24
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M5),R,23,28,25
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M6),R,23,28,25
TWO SEATERS,MERCEDES-BENZ,SL500,5,8,Auto(L5),R,16,23,19
TWO SEATERS,MERCEDES-BENZ,SL600,6,12,Auto(L5),R,13,19,15
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Auto(L5),R,23,30,25
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Manual(M6),R,20,29,23
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Auto(L5),R,21,27,23
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Manual(M6),R,18,27,21
TWO SEATERS,PLYMOUTH,PROWLER,3.5,6,Auto(S4),R,17,23,19
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,19,27,22
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(S5),R,17,25,20
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Manual(M6),R,18,26,20
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Auto(S5),R,17,24,19
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M5),R,25,30,27
