year,severity
1770,66
1771,62
1772,66
1773,197
1774,63
1775,0
1776,121
1777,0
1778,113
1779,27
1780,107
1781,50
1782,122
1783,127
1784,152
1785,216
1786,171
1787,70
1788,141
1789,69
1790,160
1791,92
1792,70
1793,46
1794,96
1795,78
1796,110
1797,79
1798,85
1799,113
1800,59
1801,86
1802,199
1803,53
1804,81
1805,81
1806,156
1807,27
1808,81
1809,107
1810,152
1811,99
1812,177
1813,48
1814,70
1815,158
1816,22
1817,43
1818,102
1819,111
1820,90
1821,86
1822,119
1823,82
1824,79
1825,111
1826,60
1827,118
1828,206
1829,122
1830,134
1831,131
1832,84
1833,100
1834,99
1835,99
1836,69
1837,67
1838,26
1839,106
1840,108
1841,155
1842,40
1843,75
1844,99
1845,86
1846,127
1847,201
1848,76
1849,64
1850,31
1851,138
1852,163
1853,98
1854,70
1855,155
1856,97
1857,82
1858,90
1859,122
1860,70
1861,96
1862,111
1863,42
1864,97
1865,91
1866,64
1867,81
1868,162
1869,137
