state,nodegree,crime
Alabama,33.1,871.7
Alaska,13.4,660.5
Arizona,21.3,670.8
Arkansas,33.7,576.5
California,23.8,1119.7
Colorado,15.6,578.8
Connecticut,20.8,495.3
Delaware,22.5,621.2
DC,26.9,2832.8
Florida,25.6,1207.2
Georgia,29.1,733.2
Hawaii,19.9,258.4
Idaho,20.3,281.4
Illinois,23.8,977.3
Indiana,24.4,508.3
Iowa,19.9,278
Kansas,18.7,510.8
Kentucky,35.4,535.5
Louisiana,31.7,984.6
Maine,21.2,130.9
Maryland,21.6,1000.1
Massachusetts,20,779
Michigan,23.2,770.1
Minnesota,17.6,338
Mississippi,35.7,411.7
Missour,26.1,740.4
Montana,19,169.9
Nebraska,18.2,348.6
Nevada,21.2,696.8
New Hampshire,17.8,125.7
New Jersey,23.3,625.8
New Mexico,24.9,934.9
New York,25.2,1122.1
North Carolina,30,681
North Dakota,23.3,83.3
Ohio,24.3,525.9
Oklahoma,25.4,622.8
Oregon,18.5,510.2
Pennsylvania,25.3,427
Rhode Island,28,394.5
South Carolina,31.7,944.5
South Dakota,22.9,194.5
Tennessee,32.9,746.2
Texas,27.9,806.3
Utah,14.9,290.5
Vermont,19.2,109.5
Virginia,24.8,374.9
Washington,16.2,534.5
West Virginia,34,211.5
Wisconsin,21.4,275.7
Wyoming,17,319.5
