state,percent1985,percent1998
Alabama,16.8,13.1
Alaska,4.5,5.5
Arizona,17.1,13.2
Arkansas,19.8,14.3
California,14.2,11.1
Colorado,11.9,10.1
Connecticut,17.1,14.3
Delaware,14.8,13
District of Colunbia,15.3,13.9
Florida,22.8,18.3
Georgia,13.9,9.9
Hawaii,12.5,13.3
Idaho,16,11.3
Illinois,16.2,12.4
Indiana,16.1,12.5
Iowa,19.4,15.1
Kansas,18.1,13.5
Kentucky,16.3,12.5
Louisiana,13.8,11.5
Maine,18,14.1
Maryland,13.8,11.5
Massachusetts,17.6,14
Michigan,15.5,12.5
Minnesota,17.1,12.3
Mississippi,17.1,12.2
Missour,18.6,13.7
Montana,16.3,13.3
Nebraska,18.6,13.8
Nevada,12.7,11.5
New Hampshire,15.9,12
New Jersey,16.8,13.6
New Mexico,13.7,11.4
New York,16.9,13.3
North Carolina,15.2,12.5
North Dakota,17.8,14.4
Ohio,16.4,13.4
Oklahoma,16.4,13.4
Oregon,17.6,13.2
Pennsylvania,18.8,15.9
Rhode Island,18.9,15.6
South Carolina,14.1,12.2
South Dakota,19.5,14.3
Tennessee,16.4,12.5
Texas,13.2,10.1
Utah,12.3,8.8
Vermont,16.2,12.3
Virginia,13.7,11.3
Washington,15.4,11.5
West Virginia,18,15.2
Wisconsin,17.6,13.2
Wyoming,11.5,11.5
