Time,Eruption
80,2
65,1
91,2
89,2
54,1
51,1
52,1
86,2
79,2
87,2
78,2
65,2
53,1
79,2
72,2
63,1
47,1
71,2
82,2
50,1
60,1
80,2
82,2
78,2
78,2
75,2
69,2
52,1
89,2
84,2
89,2
84,2
84,2
87,2
57,1
84,2
87,2
84,2
73,2
58,1
69,2
71,1
78,2
55,1
98,2
49,1
70,1
87,2
47,1
76,2
51,1
80,2
54,1
48,1
69,1
81,2
81,2
75,1
77,2
64,1
83,2
48,1
88,2
73,2
76,2
84,2
62,1
78,2
75,2
85,2
93,2
74,2
62,1
49,1
77,2
76,2
80,2
49,1
78,2
51,1
93,2
59,1
57,1
83,2
54,1
77,2
58,1
54,1
71,1
81,2
92,2
53,1
94,2
49,1
82,2
79,2
78,2
50,1
80,2
87,2
50,1
87,2
60,1
79,2
86,2
108,2
71,1
50,1
80,2
75,2
88,2
57,1
65,2
85,2
87,2
89,2
68,2
85,2
52,1
86,2
57,1
53,1
50,1
79,2
88,2
55,1
50,1
54,1
84,2
84,2
65,1
77,2
45,1
86,2
78,2
85,2
77,2
88,2
78,2
77,1
81,2
62,1
87,2
83,2
85,2
57,1
50,1
75,2
74,2
93,2
75,2
78,2
58,1
56,1
68,2
52,1
57,1
74,1
93,2
53,1
82,2
51,1
84,2
83,2
77,2
72,2
72,2
73,2
81,2
88,2
81,2
76,2
83,2
80,2
59,2
56,1
85,2
72,2
96,2
73,1
60,1
69,1
82,2
71,2
53,1
78,2
79,2
50,1
78,2
60,1
61,1
81,2
89,2
61,2
77,2
50,1
78,2
80,2
92,2
74,2
54,1
82,2
76,1
89,2
74,2
87,2
82,2
66,2
51,1
93,2
75,2
80,2
57,1
50,1
68,1
80,2
79,2
93,2
74,2
54,1
85,2
49,1
48,1
87,2
79,2
54,1
65,1
78,2
79,2
88,2
87,2
49,1
74,2
77,1
81,2
90,2
75,2
80,2
81,2
53,1
58,1
76,2
79,2
81,2
57,1
50,1
61,1
91,2
65,1
54,1
66,2
73,2
65,1
60,1
73,1
80,2
82,2
80,2
72,2
72,2
90,2
84,2
81,2
53,1
78,2
96,2
84,2
60,1
76,2
92,2
62,2
50,1
52,1
81,2
78,2
75,2
62,1
74,1
55,1
86,2
57,1
48,1
48,1
83,2
58,1
43,1
79,2
87,2
88,2
59,1
77,1
78,2
87,2
76,2
93,2
49,1
87,2
89,2
93,2
