State,rate
Alabama,1.9
Alaska,2.3
Arizona,2.1
Arkansas,2
California,1.9
Colorado,1.8
Connecticut,1.5
Delaware,1.8
District of Colunbia,1.5
Florida,1.7
Georgia,1.9
Hawaii,2.1
Idaho,2.5
Illinois,1.9
Indiana,1.8
Iowa,2
Kansas,2
Kentucky,1.9
Louisiana,2.2
Maine,1.7
Maryland,1.6
Massachusetts,1.5
Michigan,1.8
Minnesota,1.9
Mississippi,2.2
Missour,1.9
Montana,2.1
Nebraska,2
Nevada,1.8
New Hampshire,1.7
New Jersey,1.6
New Mexico,2.2
New York,1.6
North Carolina,1.6
North Dakota,2.1
Ohio,1.8
Oklahoma,2
Oregon,1.8
Pennsylvania,1.6
Rhode Island,1.5
South Carolina,1.8
South Dakota,2.4
Tennessee,1.7
Texas,2.1
Utah,3.2
Vermont,1.7
Virginia,1.6
Washington,1.8
West Virginia,1.8
Wisconsin,1.9
Wyoming,2.4
