length,smalmesh,largmesh,smallmesh,largemesh
24,1,0,24,27
25,1,0,25,28
26,3,0,26,28
27,14,1,26,28
28,30,5,26,28
29,49,19,27,28
30,60,29,27,29
31,50,51,27,29
32,70,71,27,29
33,108,120,27,29
34,88,118,27,29
35,84,107,27,29
36,68,78,27,29
37,37,52,27,29
38,33,40,27,29
39,12,17,27,29
40,5,17,27,29
41,6,14,27,29
42,10,10,27,29
43,1,4,28,29
44,6,6,28,29
45,2,2,28,29
46,1,5,28,29
47,0,1,28,29
,,,28,29
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,28,30
,,,29,30
,,,29,30
,,,29,30
,,,29,30
,,,29,30
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,29,31
,,,30,31
,,,30,31
,,,30,31
,,,30,31
,,,30,31
,,,30,31
,,,30,31
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,30,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,32
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,31,33
,,,32,33
