26kV,28kV,30kV,32kV,34kV,36kV,38kV,response,group,ln(resp)
5.789999962,68.84999847,7.74,0.27,0.19,0.35,0.09,5.789999962,1,1.756132245
1579.52002,108.2900009,17.05,0.4,0.78,0.59,0.39,1579.52002,1,7.36487627
2323.699951,110.5899963,20.46,0.69,0.96,0.96,0.47,2323.699951,1,7.750916004
,426.0700073,21.02,0.79,1.31,0.99,0.73,68.84999847,2,4.231930256
,1067.599976,22.66,2.75,2.78,1.69,0.74,108.2900009,2,4.684813023
,,43.4,3.91,3.16,1.97,1.13,110.5899963,2,4.70582962
,,47.3,9.88,4.15,2.07,1.4,426.0700073,2,6.054603577
,,139.07,13.95,4.67,2.59,2.38,1067.599976,2,6.973168373
,,141.12,15.93,4.85,2.71,,7.739999771,3,2.046401739
,,175.88,27.8,6.5,2.9,,17.04999924,3,2.836150169
,,194.9,53.24,7.35,3.67,,20.45999908,3,3.018471718
,,,82.85,8.01,3.99,,21.02000046,3,3.045474291
,,,89.29,8.27,5.35,,22.65999985,3,3.120601177
,,,100.58,12.06,13.77,,43.40000153,3,3.770459414
,,,215.1,31.75,25.5,,47.29999924,3,3.856510162
,,,,32.52,,,139.0700073,3,4.934977531
,,,,33.91,,,141.1199951,3,4.94961071
,,,,36.71,,,175.8800049,3,5.169802189
,,,,72.89,,,194.8999939,3,5.272486687
,,,,,,,0.270000011,4,-1.309333324
,,,,,,,0.400000006,4,-0.9162907
,,,,,,,0.689999998,4,-0.371063679
,,,,,,,0.790000021,4,-0.235722303
,,,,,,,2.75,4,1.011600971
,,,,,,,3.910000086,4,1.363537431
,,,,,,,9.880000114,4,2.290512562
,,,,,,,13.94999981,4,2.63547945
,,,,,,,15.93000031,4,2.768204212
,,,,,,,27.79999924,4,3.325036049
,,,,,,,53.24000168,4,3.974810123
,,,,,,,82.84999847,4,4.417031765
,,,,,,,89.29000092,4,4.491889477
,,,,,,,100.5800018,4,4.610953331
,,,,,,,215.1000061,4,5.371103287
,,,,,,,0.189999998,5,-1.660731196
,,,,,,,0.779999971,5,-0.248461396
,,,,,,,0.959999979,5,-0.040822018
,,,,,,,1.309999943,5,0.270027101
,,,,,,,2.779999971,5,1.022450924
,,,,,,,3.160000086,5,1.150572062
,,,,,,,4.150000095,5,1.423108339
,,,,,,,4.670000076,5,1.541159034
,,,,,,,4.849999905,5,1.578978658
,,,,,,,6.5,5,1.871802211
,,,,,,,7.349999905,5,1.994700313
,,,,,,,8.010000229,5,2.080690861
,,,,,,,8.270000458,5,2.112634659
,,,,,,,12.06000042,5,2.489894152
,,,,,,,31.75,5,3.457892656
,,,,,,,32.52000046,5,3.481855392
,,,,,,,33.90999985,5,3.523710012
,,,,,,,36.70999908,5,3.603049278
,,,,,,,72.88999939,5,4.288951397
,,,,,,,0.349999994,6,-1.049822092
,,,,,,,0.589999974,6,-0.527632773
,,,,,,,0.959999979,6,-0.040822018
,,,,,,,0.99000001,6,-0.010050327
,,,,,,,1.690000057,6,0.524728537
,,,,,,,1.970000029,6,0.678033531
,,,,,,,2.069999933,6,0.727548599
,,,,,,,2.589999914,6,0.951657832
,,,,,,,2.710000038,6,0.996948659
,,,,,,,2.900000095,6,1.064710736
,,,,,,,3.670000076,6,1.300191641
,,,,,,,3.99000001,6,1.383791208
,,,,,,,5.349999905,6,1.677096486
,,,,,,,13.77000046,6,2.622492313
,,,,,,,25.5,6,3.238678455
,,,,,,,0.090000004,7,-2.407945633
,,,,,,,0.389999986,7,-0.941608548
,,,,,,,0.469999999,7,-0.755022585
,,,,,,,0.730000019,7,-0.314710706
,,,,,,,0.74000001,7,-0.301105082
,,,,,,,1.129999995,7,0.122217625
,,,,,,,1.399999976,7,0.336472213
,,,,,,,2.380000114,7,0.867100537
