State,1994salary,1999salary
Alabama,81151,94655
Alaska,81648,81648
Arizona,75000,95000
Arkansas,60000,60000
California,120000,165000
Colorado,70000,90000
Connecticut,78000,78000
Delaware,95000,107000
Florida,101764,117240
Georgia,91092,115939
Hawaii,94780,94780
Idaho,75000,92500
Illinois,103097,140132
Indiana,77200,77200
Iowa,76700,104352
Kansas,76476,91742
Kentucky,86352,97067
Louisiana,73440,95000
Maine,70000,70000
Maryland,,120000
Massachusetts,75000,90000
Michigan,112025,127300
Minnesota,109053,120303
Mississippi,75600,83160
Missouri,90312,112755
Montana,55502,83672
Nebraska,65000,65000
Nevada,90000,117000
New Hampshire,86235,90547
New Jersey,85000,85000
New Mexico,90000,90000
New York,130000,179000
North Carolina,123300,113656
North Dakota,68280,76879
Ohio,115752,119235
Oklahoma,70000,101140
Oregon,80000,88300
Pennsylvania,105000,105035
Rhode Island,69900,95000
South Carolina,101959,106078
South Dakota,74649,87276
Tennessee,85000,85000
Texas,99122,115345
Utah,70000,93000
Vermont,,115763
Virginia,110000,124855
Washington,121000,132000
West Virginia,90000,90000
Wisconsin,92283,115699
Wyoming,70000,95000
