Rural,Suburban,Urban,HLT,Type,Ranks
16,22,33,16,1,1
21,37,53,21,1,2
33,52,54,33,1,4.5
51,63,72,51,1,7
53,65,74,53,1,9.5
63,67,76,63,1,12.5
64,70,80,64,1,14.5
64,72,82,64,1,14.5
66,73,83,66,1,17
67,74,83,67,1,18.5
68,76,84,68,1,20.5
68,78,86,68,1,20.5
72,79,87,72,1,24
75,82,88,75,1,29
77,83,92,77,1,32
,,,22,2,3
,,,37,2,6
,,,52,2,8
,,,63,2,12.5
,,,65,2,16
,,,67,2,18.5
,,,70,2,22
,,,72,2,24
,,,73,2,26
,,,74,2,27.5
,,,76,2,30.5
,,,78,2,33
,,,79,2,34
,,,82,2,36.5
,,,83,2,39
,,,33,3,4.5
,,,53,3,9.5
,,,54,3,11
,,,72,3,24
,,,74,3,27.5
,,,76,3,30.5
,,,80,3,35
,,,82,3,36.5
,,,83,3,39
,,,83,3,39
,,,84,3,41
,,,86,3,42
,,,87,3,43
,,,88,3,44
,,,92,3,45
