City,1984,1993
Albany,52400,109900
Anaheim,134900,222200
Atlanta,64600,94000
Baltimore,65200,113200
Birmingham,66600,89000
Boston,102000,165200
Chicago,77500,131300
Cincinnati,59600,85600
Cleveland,65600,89200
Columbus,60400,89300
Dallas,83400,89600
Denver,85000,96300
Detroit,48000,92200
Ft Lauderdale,76000,99500
Houston,79600,78000
Indianapolis,54200,83800
Kansas City,57600,79100
Los Angeles,115300,199700
Louisville,49500,69900
Memphis,65200,84200
Miami,84400,98000
Milwaukee,69600,98400
Minneapolis,75100,96400
Nashville,64000,87000
New York,106900,168000
Oklahoma City,63600,61100
Philadelphia,59500,108900
Providence,61400,112500
Rochester,62100,83300
St Louis,64400,80900
Salt Lake City,67600,79000
San Antonio,71600,72600
San Diego,102900,175500
San Francisco,132600,249300
San Jose,121600,297100
Tampa,60800,69900
Washington,92900,153500
