year,storms,hurrican,ElNino,code
1950,13,11,cold,1
1951,10,8,warm,2
1952,7,6,neutral,3
1953,14,6,warm,2
1954,11,8,cold,1
1955,12,9,cold,1
1956,8,4,neutral,3
1957,8,3,warm,2
1958,10,7,neutral,3
1959,11,7,neutral,3
1960,7,4,neutral,3
1961,11,8,cold,1
1962,5,3,neutral,3
1963,9,7,neutral,3
1964,12,6,cold,1
1965,6,4,warm,2
1966,11,7,neutral,3
1967,8,6,cold,1
1968,7,4,neutral,3
1969,17,12,neutral,3
1970,10,5,cold,1
1971,13,6,cold,1
1972,4,3,warm,2
1973,7,4,cold,1
1974,7,4,cold,1
1975,8,6,cold,1
1976,8,6,warm,2
1977,6,5,warm,2
1978,11,5,neutral,3
1979,8,5,neutral,3
1980,11,9,neutral,3
1981,11,7,neutral,3
1982,5,2,warm,2
1983,4,3,warm,2
1984,12,5,neutral,3
1985,11,7,cold,1
1986,6,4,warm,2
1987,7,3,warm,2
1988,12,5,cold,1
1989,11,7,cold,1
1990,14,8,neutral,3
1991,8,4,warm,2
1992,6,3,warm,2
1993,8,4,warm,2
1994,7,3,warm,2
1995,17,10,cold,1
