State,income,C3,Class,freq,percent
Alabama,1.6,4,1,2,3.921568627
Alaska,1.7,4,2,5,9.803921569
Arizona,0.7,2,3,13,25.49019608
Arkansas,1.4,3,4,22,43.1372549
California,1.4,3,5,9,17.64705882
Colorado,2.1,5,,,
Connecticut,0.5,1,,,
Delaware,2.4,5,,,
District of Colunbia,0.3,1,,,
Florida,2.1,5,,,
Georgia,1.7,4,,,
Hawaii,1.6,4,,,
Idaho,1.3,3,,,
Illinois,1.9,4,,,
Indiana,1.9,4,,,
Iowa,2.4,5,,,
Kansas,1.9,4,,,
Kentucky,1.6,4,,,
Louisiana,1.5,3,,,
Maine,1.5,3,,,
Maryland,1.2,3,,,
Massachusetts,1,2,,,
Michigan,2.3,5,,,
Minnesota,1.8,4,,,
Mississippi,1.3,3,,,
Missour,1.9,4,,,
Montana,1.8,4,,,
Nebraska,1.7,4,,,
Nevada,2.5,5,,,
New Hampshire,0.8,2,,,
New Jersey,1.8,4,,,
New Mexico,1.9,4,,,
New York,1.8,4,,,
North Carolina,1.9,4,,,
North Dakota,0.8,2,,,
Ohio,1.5,3,,,
Oklahoma,2,4,,,
Oregon,1.7,4,,,
Pennsylvania,1.4,3,,,
Rhode Island,1.5,3,,,
South Carolina,2,4,,,
South Dakota,1.8,4,,,
Tennessee,1.8,4,,,
Texas,2.1,5,,,
Utah,2.2,5,,,
Vermont,1.5,3,,,
Virginia,1.2,3,,,
Washington,1.6,4,,,
West Virginia,1.5,3,,,
Wisconsin,2.2,5,,,
Wyoming,1,2,,,
