year,speed,yr-1960
1961,139.1300049,1
1962,140.2929993,2
1963,143.1369934,3
1964,147.3500061,4
1965,151.3880005,5
1966,144.3170013,6
1967,151.2070007,7
1968,152.8820038,8
1969,156.8670044,9
1970,155.7489929,10
1971,157.7350006,11
1972,162.9620056,12
1973,159.0359955,13
1974,158.5890045,14
1975,149.2129974,15
1976,148.7250061,16
1977,161.3309937,17
1978,161.3630066,18
1979,158.8990021,19
1980,142.8619995,20
1981,139.0850067,21
1982,162.026001,22
1983,162.1170044,23
1984,163.6210022,24
1985,152.9819946,25
1986,170.7220001,26
1987,162.1750031,27
1988,144.8090057,28
1989,167.5809937,29
1990,185.9839935,30
1991,176.4570007,31
1992,134.477005,32
1993,157.2070007,33
1994,160.871994,34
1995,153.616,35
1996,147.956,36
1997,145.827,37
1998,145.155,38
1999,153.176,39
