driver,qualif,starts,group
brayton,231.6040039,13,2
luyendyk,231.0310059,10,2
goodyear,230.7590027,5,2
andretti,229.2940063,10,2
villeneuve,228.3970032,1,1
gugelmin,227.9230042,1,1
gordon,227.5310059,2,1
pruett,227.4029999,3,1
vasser,227.3500061,3,1
matsushita,226.8670044,3,1
fox,226.5879974,7,2
ribeiro,226.4949951,0,1
r.guerrero,226.4019928,10,2
cheever,226.3139954,5,2
fabi,225.9109955,7,2
tracy,225.7949982,3,1
zampedri,225.753006,0,1
sullivan,225.4960022,11,2
ferran,225.4369965,0,1
matsuda,227.8179932,1,1
rahal,227.0809937,12,2
boesel,226.0279999,8,2
lazier,226.0169983,2,1
salazar,225.022995,0,1
fernandez,227.8029938,1,1
bachelart,226.875,1,1
fittipaldi,226.375,0,1
james,225.345993,3,1
c.guerrero,225.8309937,0,1
sharp,225.7109985,1,1
johansson,225.5469971,2,1
jones,225.1349945,3,1
herta,225.5509949,1,1
