year,pay,increase,inflation,C6-T
1975,4.53,,6.9,high
1976,4.86,7.3,4.9,bmiddle
1977,5.25,8,6.7,high
1978,5.69,8.4,9,high
1979,6.16,8.3,13.3,high
1980,6.66,8.1,12.5,high
1981,7.25,8.9,8.9,high
1982,7.68,5.9,3.8,alow
1983,8.02,4.4,3.8,alow
1984,8.32,3.7,3.9,alow
1985,8.57,3,3.8,alow
1986,8.76,2.2,1.1,alow
1987,8.98,2.5,4.4,bmiddle
1988,9.28,3.3,4.4,bmiddle
1989,9.66,4.1,4.6,bmiddle
1990,10.01,3.6,6.1,bmiddle
1991,10.32,3.1,3.1,alow
1992,10.57,2.4,2.9,alow
1993,10.83,2.5,2.7,alow
1994,11.12,2.7,2.7,alow
1995,11.43,2.8,2.5,alow
1996,11.82,3.4,3.3,alow
1997,12.28,3.9,1.7,alow
1998,12.77,4,1.6,alow
