State,rate
Alabama,6.34
Alaska,8.38
Arizona,7.35
Arkansas,6.68
California,6.74
Colorado,6.14
Connecticut,9.12
Delaware,9.17
District of Columbia,6.31
Florida,7.26
Georgia,5.94
Hawaii,11.29
Idaho,3.58
Illinois,8.47
Indiana,6.11
Iowa,6.72
Kansas,7.1
Kentucky,5.63
Louisiana,6.25
Maine,6.98
Maryland,6.84
Massachusetts,8.44
Michigan,6.71
Minnesota,6.21
Mississippi,6.08
Missour,6.01
Montana,4.21
Nebraska,5.91
Nevada,6.02
New Hampshire,8.97
New Jersey,10.01
New Mexico,7.34
New York,10.4
North Carolina,6.19
North Dakota,5.61
Ohio,7.34
Oklahoma,6.11
Oregon,3.88
Pennsylvania,7.36
Rhode Island,9.02
South Carolina,6
South Dakota,6.07
Tennessee,4.8
Texas,7.17
Utah,6.88
Vermont,6.33
Virginia,6.57
Washington,3.38
West Virginia,5.5
Wisconsin,6.7
Wyoming,5.2
