state1,Sat-M1,Profic1,state2,Sat-M2,Profic2,state,Sat-M,Profic,Group
Conn,472,23.1,Ala,529,8.8,Conn,472,23.1,1
Del,464,16.1,Alaska,477,,Del,464,16.1,1
D.C.,443,2.8,Ariz,496,,D.C.,443,2.8,1
Ga,446,14.7,Ark,518,9.7,Ga,446,14.7,1
Hawaii,480,12.5,Calif,482,13.9,Hawaii,480,12.5,1
Ind,466,17.5,Colo,513,18.2,Ind,466,17.5,1
Maine,463,,Fla,466,12.8,Maine,463,,1
Md,479,17.1,Idaho,508,19.5,Md,479,17.1,1
Mass,475,,Ill,546,,Mass,475,,1
N.H.,486,22.5,Iowa,574,26.7,N.H.,486,22.5,1
N.J.,475,22.8,Kan,550,,N.J.,475,22.8,1
N.Y.,472,16.2,Ky,523,10.5,N.Y.,472,16.2,1
N.C.,455,9.2,La,530,5.4,N.C.,455,9.2,1
Ore,491,22.6,Mich,537,16.8,Ore,491,22.6,1
Pa,462,19.1,Minn,562,25.4,Pa,462,19.1,1
R.I.,462,15.3,Miss,528,,R.I.,462,15.3,1
S.C.,443,,Mo,532,,S.C.,443,,1
Vt,472,,Mont,523,,Vt,472,,1
Va,469,18.9,Neb,543,26.6,Va,469,18.9,1
,,,Nev,484,,Ala,529,8.8,2
,,,N.M.,528,10.3,Alaska,477,,2
,,,N.D.,559,30.6,Ariz,496,,2
,,,Ohio,510,15.6,Ark,518,9.7,2
,,,Okla,537,13.2,Calif,482,13.9,2
,,,S.D.,548,,Colo,513,18.2,2
,,,Tenn,535,,Fla,466,12.8,2
,,,Texas,474,13.1,Idaho,508,19.5,2
,,,Utah,558,,Ill,546,,2
,,,Wash,488,,Iowa,574,26.7,2
,,,W.V.,482,9.8,Kan,550,,2
,,,Wis,557,24.6,Ky,523,10.5,2
,,,Wyo,521,19.7,La,530,5.4,2
,,,,,,Mich,537,16.8,2
,,,,,,Minn,562,25.4,2
,,,,,,Miss,528,,2
,,,,,,Mo,532,,2
,,,,,,Mont,523,,2
,,,,,,Neb,543,26.6,2
,,,,,,Nev,484,,2
,,,,,,N.M.,528,10.3,2
,,,,,,N.D.,559,30.6,2
,,,,,,Ohio,510,15.6,2
,,,,,,Okla,537,13.2,2
,,,,,,S.D.,548,,2
,,,,,,Tenn,535,,2
,,,,,,Texas,474,13.1,2
,,,,,,Utah,558,,2
,,,,,,Wash,488,,2
,,,,,,W.V.,482,9.8,2
,,,,,,Wis,557,24.6,2
,,,,,,Wyo,521,19.7,2
