CondA,CondB,CondC,CondD,score,condition
16,20,9,15,16,CondA
12,18,11,14,12,CondA
15,22,14,18,15,CondA
13,17,15,20,13,CondA
15,21,8,16,15,CondA
14,19,10,17,14,CondA
15,18,11,17,15,CondA
14,18,10,16,14,CondA
,,,,20,CondB
,,,,18,CondB
,,,,22,CondB
,,,,17,CondB
,,,,21,CondB
,,,,19,CondB
,,,,18,CondB
,,,,18,CondB
,,,,9,CondC
,,,,11,CondC
,,,,14,CondC
,,,,15,CondC
,,,,8,CondC
,,,,10,CondC
,,,,11,CondC
,,,,10,CondC
,,,,15,CondD
,,,,14,CondD
,,,,18,CondD
,,,,20,CondD
,,,,16,CondD
,,,,17,CondD
,,,,17,CondD
,,,,16,CondD
