Brand,value,revenue
Marlboro,31.2,15.4
Coca-Cola,24.4,8.4
Budweiser,10.1,6.2
Pepsi-Cola,9.6,5.5
Nescafe,8.5,4.3
Kellogg,8.4,4.7
Winston,6.1,3.6
Pampers,6.1,4
Camel,4.4,2.3
Campbell,3.9,2.4
Nestle,3.7,6
Hennessy,3,0.9
Heineken,2.7,3.5
Johnnie Walker,2.6,1.5
Louis Vuitton,2.6,0.9
Hershey,2.3,2.6
Guinness,2.3,1.8
Barbie,2.2,0.8
Kraft,2.2,2.8
Smirnoff,2.2,1
Del Monte,1.6,2.3
Wrigley's,1.5,1
Schweppes,1.4,1.3
Tampax,1.4,0.6
Heinz,1.3,0.8
Quaker,1.2,1.1
Colgate,1.2,1.1
Gordon's,1.1,0.6
Hermes,1,0.5
Kleenex,0.8,0.7
Carlsberg,0.7,0.8
Haagen-Dazs,0.6,0.5
Fisher-Price,0.6,0.6
Nivea,0.6,0.9
Sara Lee,0.5,0.8
Oil of Olay,0.5,0.6
Planters,0.5,0.7
Green Giant,0.4,1
Jell-o,0.4,0.3
Band-Aid,0.2,0.2
Ivory,0.2,0.4
Birds Eye,0.2,0.3
