Rating,forty,weight
8.2,4.72,313
7.5,4.94,276
7,5.06,289
6.6,5.09,300
6.4,5.07,285
6.2,5.1,312
5.6,5.13,287
5.4,5,265
5.4,5.03,277
5.3,4.78,272
5.2,5.03,292
5.1,5.1,298
5,4.87,281
7.2,4.9,292
6.9,4.68,255
6.4,4.84,284
6,5.1,283
5.9,4.72,260
5.8,4.85,239
5.8,4.93,271
5.7,4.88,283
5.6,4.9,247
5.5,4.82,264
5.4,4.89,245
7.5,4.9,276
7,5.1,289
6.6,5.1,300
6.4,5.1,285
6.2,5.1,312
5.6,5.1,287
5.4,5,265
5.4,5,277
5.3,4.8,272
5.2,5,292
5.1,5.1,298
5,4.9,281
7.2,4.9,292
6.9,4.7,255
6.4,4.8,284
6,5.1,283
5.9,4.7,260
5.8,4.8,239
5.8,4.9,271
5.7,4.9,283
5.6,4.9,247
5.5,4.8,264
5.4,4.9,245
