tickets,years,ln(tickets),SRES1,FITS1,SRES2,FITS2
42,3,3.737669706,-0.507947028,47.14092255,-0.459509671,3.828009367
30,8,3.401197433,-0.233241692,32.47967529,0.568501115,3.283793926
54,2,3.988984108,0.396575898,50.07316971,0.271035731,3.936852217
12,15,2.484906673,0.004700066,11.9539299,-0.194249362,2.521892548
32,5,3.465735912,-0.88876313,41.27642441,-0.713139355,3.610323191
8,20,2.079441547,1.36780715,-2.707317114,0.669234157,1.977677345
75,1,4.317488194,2.281934261,53.00542068,1.451658487,4.045695305
28,10,3.33220458,0.130873173,26.61517525,1.294595122,3.066107988
20,7,2.995732307,-1.45356369,35.41192245,-1.927091837,3.392637014
15,12,2.708050251,-0.553663492,20.75067711,-0.695736706,2.848421812
