firs,Presiden,Birt,Inaugage,Deathage
G.,Washington,VA,57,67
J.,Adams,MASS,61,90
T.,Jefferson,VA,57,83
J.,Madison,VA,57,85
J.,Monroe,VA,58,73
J.,Adams,MASS,57,80
A.,Jackson,SC,61,78
M.,VanBuren,NY,54,79
W.,Harrison,VA,68,68
J.,Tyler,VA,51,71
J.,Polk,NC,49,53
Z.,Taylor,VA,64,65
M.,Fillmore,NY,50,74
F.,Pierce,NH,48,64
J.,Buchanan,PA,65,77
A.,Lincoln,KY,52,56
A.,Johnson,NC,56,66
U.,Grant,OH,46,63
R.,Hayes,OH,54,70
J.,Garfield,OH,49,49
C.,Arthur,VT,50,57
G.,Cleveland,NJ,47,71
B.,Harrison,OH,55,67
G.,Cleveland,NJ,55,71
W.,McKinley,OH,54,58
T.,Roosevelt,NY,42,60
W.,Taft,OH,51,72
W.,Wilson,VA,56,67
W.,Harding,OH,55,57
C.,Coolidge,VT,51,60
H.,Hoover,IA,54,90
F.,Roosevelt,NY,51,63
H.,Truman,MO,60,88
D.,Eisenhower,TEX,62,78
J.,Kennedy,MASS,43,46
L.,Johnson,TEX,55,64
R.,Nixon,CAL,56,81
G.,Ford,NEB,61,
J.,Carter,GA,52,
R.,Reagan,ILL,69,
G.,Bush,MASS,64,
B.,Clinton,ARK,46,
G. W.,Bush,CONN,54,
