educat,confid,SRES1,FITS1
12,28,-0.670256972,34.76153564
12,36,0.12276639,34.76153564
14,22,-0.434795141,26.3001461
8,58,0.68623668,51.68431091
10,41,-0.22524333,43.22292328
12,32,-0.273745269,34.76153564
11,30,-0.896436572,38.99222946
12,62,2.700092316,34.76153564
16,14,-0.415068746,17.83875656
14,21,-0.535906851,26.3001461
8,42,-1.052257299,51.68431091
12,48,1.312301397,34.76153564
15,25,0.304351598,22.06945038
12,31,-0.372873187,34.76153564
9,40,-0.77671349,47.4536171
12,42,0.717533886,34.76153564
10,57,1.395997167,43.22292328
14,28,0.171875149,26.3001461
12,16,-1.859791994,34.76153564
16,18,0.01743458,17.83875656
