rain,x1,x2,x3,x4
2.97,1.85,2.36,2.17,2.77
1.88,1.72,1.93,1.25,1.5
2.19,1.94,3.35,2.3,2.64
1.68,0.78,1.23,0.97,1.66
2.4,2.51,2.04,3.19,2.17
3.4,3.55,4.46,3.82,4.06
2.05,2.08,1.67,1.94,2.22
2.11,1.4,1.83,1.94,2.55
2.66,2.36,1.88,2.78,3.18
1.49,2.25,2.34,1.82,2.12
2.45,2.77,3.21,2.57,3.18
2.45,1.7,2.33,2.18,1.95
2.41,2.69,3.22,2.62,3.28
4.1,3.71,3.81,3.3,4.13
3.82,2.98,3.5,3.4,4.28
4.78,4.66,4.45,4.46,4.79
1.25,0.95,1.16,0.9,1.25
1.88,1.45,1.76,1.33,1.98
1.49,1.36,1.95,2.5,1.5
2.02,2.27,2.28,3.21,2.24
1.36,1.05,1.35,0.86,1.39
3.38,2.73,2.92,2.4,4.3
3.16,3.94,2.7,4.3,2.99
2.23,1.94,2.14,2.27,3.52
1.76,1.88,1.71,2.25,2.65
3.33,2.84,2.84,2.62,5.44
2.3,2.16,3.07,2.91,3.46
2.59,3.96,2.46,3.02,4.14
2.28,1.9,2.11,1.84,2.75
3.41,3.94,3.89,3.7,3.86
2.56,1.49,2.71,1.44,2.49
2.6,2.92,2.63,3.32,2.78
2.19,2.21,2.4,2.27,3.76
2.48,3.57,2.62,3.18,2.44
2.23,2.63,2.13,2.12,2.55
