rd,sales,SRES1,FITS1,RESI1
1.2,55,0.763094842,46.82858276,8.171414875
2.4,48,0.778747499,38.64915466,9.35084235
3.1,32,-0.152198598,33.87782669,-1.877824955
4,21,-0.545802295,27.74325562,-6.743254349
4.9,10,-0.974582493,21.60868454,-11.60868374
6.3,41,2.851727724,12.06601906,28.93398165
1.8,43,0.022736285,42.73887253,0.261128613
2.7,44,0.606987178,36.60430145,7.395699219
3.3,21,-0.930037439,32.5145874,-11.51458704
3.7,32,0.178387806,29.78811073,2.211888782
4.2,12,-1.169397473,26.38001823,-14.38001644
5.4,8,-0.89096123,18.20059013,-10.20058896
