West,Central,East,Index,Region,Ranks
153,157,153,153,1,1.5
164,165,165,164,1,4
171,167,167,171,1,11
173,170,171,173,1,14
176,171,175,176,1,17.5
178,172,176,178,1,20
180,175,179,180,1,23.5
181,177,182,181,1,25.5
181,179,183,181,1,25.5
182,180,184,182,1,28
183,182,185,183,1,30.5
185,187,187,185,1,33.5
189,189,189,189,1,38
192,194,192,192,1,40.5
194,196,196,194,1,42.5
196,,200,196,1,45
200,,,200,1,47.5
,,,157,2,3
,,,165,2,5.5
,,,167,2,7.5
,,,170,2,9
,,,171,2,11
,,,172,2,13
,,,175,2,15.5
,,,177,2,19
,,,179,2,21.5
,,,180,2,23.5
,,,182,2,28
,,,187,2,35.5
,,,189,2,38
,,,194,2,42.5
,,,196,2,45
,,,153,3,1.5
,,,165,3,5.5
,,,167,3,7.5
,,,171,3,11
,,,175,3,15.5
,,,176,3,17.5
,,,179,3,21.5
,,,182,3,28
,,,183,3,30.5
,,,184,3,32
,,,185,3,33.5
,,,187,3,35.5
,,,189,3,38
,,,192,3,40.5
,,,196,3,45
,,,200,3,47.5
