depth,downtemp1,downtemp2,downsalinity1,downsalinity2,downdensity,C7,uptemp1,uptemp2,upsalinity1,upsalinity2,updensity
10,27.4158,27.42,33.3146,33.3137,21.3191,10,27.4563,27.457,33.314,33.3144,21.3057
20,27.4004,27.4084,33.3133,33.314,21.3238,20,27.4098,27.4042,33.3128,33.3133,21.3204
30,27.3268,27.3282,33.3145,33.314,21.349,30,27.3228,27.3184,33.3123,33.3136,21.3486
40,27.1651,27.1656,33.3368,33.3371,21.4181,40,27.0862,27.0856,33.352,33.3524,21.4546
50,26.843,26.8444,33.4372,33.4362,21.5965,50,26.8297,26.8257,33.4633,33.4646,21.6203
60,26.6797,26.6799,33.6032,33.6044,21.7737,60,26.5685,26.5457,33.6363,33.6409,21.8336
70,24.961,24.9557,34.1052,34.1143,22.6834,70,24.6923,24.6812,34.1855,34.1818,22.8249
80,21.1814,21.1829,34.6548,34.6574,24.1873,80,21.2,21.2615,34.6909,34.6819,24.2097
90,18.2453,18.2435,34.6438,34.673,24.9436,90,17.3849,17.5753,34.7121,34.6951,25.2059
100,15.5176,15.5181,34.7003,34.7047,25.6304,100,15.4281,15.4171,34.7161,34.7152,25.6626
110,14.4404,14.4426,34.7343,34.7338,25.8925,110,14.1,13.8777,34.7421,34.7431,25.9708
120,13.5817,13.5835,34.7509,34.75,26.0857,120,13.4634,13.4462,34.7599,34.7615,26.117
130,13.3321,13.3305,34.7619,34.7651,26.1456,130,13.0177,13.0785,34.7831,34.7814,26.2255
140,12.9872,12.9881,34.7857,34.7856,26.2339,140,12.8032,12.7759,34.8075,34.8078,26.2874
150,12.7473,12.7482,34.8063,34.8067,26.2979,150,12.3808,12.3845,34.7963,34.7954,26.3619
160,12.3862,12.3862,34.7935,34.7959,26.3589,160,12.1168,12.0946,34.7841,34.7792,26.4036
170,12.2114,12.2117,34.7887,34.7901,26.3893,170,12.0257,11.9492,34.7816,34.7767,26.4194
180,12.039,12.0395,34.7805,34.7811,26.4162,180,11.7877,11.7815,34.7698,34.7679,26.4555
190,11.7966,11.7964,34.768,34.77,26.4526,190,11.5288,11.5217,34.7567,34.7583,26.494
200,11.5472,11.5473,34.754,34.7558,26.4887,200,11.415,11.4022,34.7539,34.7515,26.5131
210,11.3875,11.3871,34.7482,34.7508,26.514,210,11.1943,11.2041,34.745,34.7429,26.5468
220,11.1977,11.1972,34.7435,34.7452,26.5453,220,11.1595,11.1651,34.7495,34.7488,26.5569
230,11.1781,11.1778,34.7488,34.7502,26.5532,230,10.9937,11.0278,34.7445,34.7437,26.5833
240,11.0116,11.0112,34.7421,34.7444,26.5785,240,10.8615,10.8355,34.7378,34.7355,26.602
250,10.8574,10.8567,34.7368,34.7386,26.6022,250,10.7822,10.7797,34.7336,34.7342,26.6131
260,10.7814,10.7804,34.7323,34.7353,26.6125,260,10.6584,10.6766,34.7296,34.7279,26.6321
270,10.7116,10.7108,34.7304,34.7322,26.6236,270,10.5879,10.5854,34.7265,34.7243,26.6424
