depth,primarytemp,secondarytemp,primarysalinity,secondarysalinity,density
10,23.6172,23.6181,35.5912,35.5936,24.2044
20,23.5776,23.5795,35.5894,35.5922,24.2153
30,23.5162,23.5171,35.5884,35.5905,24.2331
40,23.5013,23.5023,35.5918,35.594,24.2407
50,23.4503,23.4512,35.5991,35.6013,24.2618
60,23.3803,23.3812,35.5929,35.5949,24.2781
70,22.9767,22.9753,35.5516,35.5595,24.3645
80,22.0785,22.0784,35.5134,35.517,24.5919
90,19.8932,19.8932,35.3977,35.4088,25.0989
100,18.6511,18.6503,35.2898,35.2974,25.337
110,16.9338,16.9126,35.0556,35.1355,25.5779
120,15.4409,15.4407,35.0353,35.04,25.9063
130,14.5509,14.5526,35.0063,35.0065,26.0795
140,14.0967,14.0965,34.9967,35.0002,26.1692
150,13.8459,13.846,34.9842,34.9871,26.2124
160,13.4835,13.4837,34.9606,34.9635,26.2694
170,13.248,13.2506,34.9479,34.9526,26.3078
180,12.9529,12.9529,34.9301,34.9341,26.3538
190,12.6075,12.6063,34.8964,34.9063,26.3963
200,12.5021,12.5031,34.8962,34.8975,26.4171
210,12.3836,12.3837,34.8869,34.8896,26.4332
220,12.2848,12.2853,34.8819,34.8838,26.4488
230,12.1552,12.1552,34.8745,34.8771,26.4683
240,11.9957,11.9951,34.8686,34.8719,26.4944
250,11.8666,11.8667,34.8597,34.8623,26.5122
260,11.7538,11.7544,34.8504,34.8523,26.5265
270,11.6757,11.6757,34.8436,34.8465,26.5361
280,11.4161,11.4156,34.8261,34.8302,26.5709
290,11.2211,11.2194,34.8149,34.8208,26.5982
300,11.0205,11.0205,34.8047,34.8068,26.6269
310,10.9127,10.9114,34.7965,34.8013,26.6402
320,10.7019,10.7015,34.7846,34.7879,26.6687
330,10.5555,10.5552,34.7754,34.7785,26.6876
340,10.4547,10.4534,34.7679,34.7739,26.6996
350,10.2771,10.2767,34.7575,34.7604,26.7225
360,10.1006,10.1004,34.747,34.7496,26.7448
370,10.0182,10.0177,34.7414,34.7443,26.7547
380,9.941,9.9404,34.7366,34.7395,26.7642
390,9.714,9.7123,34.7174,34.7243,26.7876
400,9.4479,9.4476,34.7007,34.7034,26.8187
410,9.2404,9.2388,34.685,34.6906,26.8405
420,9.0186,9.0177,34.6726,34.6765,26.8665
430,8.752,8.7515,34.6576,34.6609,26.8971
440,8.6152,8.6148,34.6519,34.6541,26.9141
450,8.4583,8.4578,34.6433,34.6461,26.9317
460,8.3103,8.3098,34.6345,34.6378,26.9476
470,8.1182,8.1176,34.6238,34.6276,26.9682
480,7.8903,7.8895,34.6132,34.617,26.9939
490,7.7146,7.7141,34.6063,34.6087,27.0143
500,7.5868,7.586,34.6011,34.6042,27.0288
520,7.2978,7.297,34.588,34.5915,27.0599
540,7.0812,7.0797,34.5788,34.5841,27.0832
560,6.8764,6.8754,34.5713,34.576,27.1055
580,6.6323,6.6318,34.561,34.5634,27.1305
600,6.4645,6.4638,34.554,34.5569,27.1474
620,6.2853,6.2847,34.5491,34.5516,27.1671
640,6.0968,6.096,34.5428,34.546,27.1865
660,6.0018,6.0006,34.5446,34.5491,27.2002
680,5.8513,5.8496,34.542,34.5439,27.2172
700,5.6824,5.6816,34.539,34.5422,27.2358
720,5.5619,5.5613,34.5392,34.5413,27.2508
740,5.4166,5.416,34.5385,34.5409,27.2678
760,5.3211,5.3207,34.54,34.5417,27.2806
780,5.2224,5.2219,34.5385,34.5406,27.2912
800,5.1298,5.1293,34.538,34.5397,27.3018
820,5.0509,5.0504,34.5392,34.541,27.312
840,4.9614,4.9607,34.5399,34.5417,27.3229
860,4.8736,4.8728,34.54,34.5424,27.3332
880,4.7765,4.776,34.5423,34.544,27.3461
900,4.7001,4.6998,34.5429,34.5444,27.3552
920,4.636,4.6356,34.5433,34.5448,27.3628
940,4.5377,4.5374,34.5449,34.5462,27.375
960,4.4717,4.4714,34.5464,34.5476,27.3834
980,4.3946,4.3943,34.5479,34.549,27.3931
1000,4.3171,4.3168,34.5497,34.5505,27.4029
1000,4.3204,4.3187,34.5496,34.5503,27.4025
980,4.3707,4.3728,34.5492,34.5495,27.3967
960,4.449,4.4473,34.5474,34.5474,27.3867
940,4.5147,4.5223,34.5456,34.5455,27.378
920,4.6153,4.6174,34.5452,34.5453,27.3665
900,4.6874,4.683,34.5443,34.5437,27.3577
880,4.7572,4.7544,34.544,34.544,27.3495
860,4.8454,4.8443,34.542,34.5417,27.3379
840,4.943,4.943,34.5411,34.541,27.326
820,5.025,5.0266,34.5406,34.5404,27.316
800,5.1114,5.1162,34.5396,34.5389,27.3052
780,5.1998,5.2042,34.5402,34.5403,27.2951
760,5.3167,5.3162,34.542,34.5415,27.2827
740,5.4033,5.4009,34.541,34.5402,27.2714
720,5.5424,5.5382,34.5415,34.5402,27.255
700,5.6653,5.6803,34.5414,34.5415,27.2398
680,5.8191,5.8236,34.5438,34.5402,27.2226
660,5.9954,5.9815,34.5481,34.5449,27.2038
640,6.086,6.0866,34.5463,34.5459,27.1906
620,6.3082,6.2947,34.5543,34.552,27.1683
600,6.4656,6.4498,34.5579,34.5567,27.1504
580,6.6131,6.6132,34.5644,34.5632,27.1357
560,6.8845,6.8788,34.5773,34.5752,27.1092
540,7.1045,7.1111,34.5857,34.5837,27.0853
520,7.2966,7.2987,34.5885,34.5916,27.0605
500,7.6388,7.643,34.6065,34.6054,27.0256
490,7.7103,7.7218,34.6104,34.6068,27.0182
480,7.9092,7.9002,34.6199,34.6167,26.9964
470,8.0533,8.0533,34.6262,34.6251,26.9798
460,8.1768,8.1546,34.6327,34.6246,26.9663
450,8.3337,8.3389,34.6416,34.6402,26.9494
440,8.4858,8.4952,34.6474,34.6476,26.9305
430,8.607,8.5911,34.655,34.6534,26.9176
420,8.7255,8.7348,34.6599,34.6576,26.9028
410,8.8857,8.9233,34.6656,34.6635,26.8819
400,9.1685,9.175,34.6856,34.6886,26.8523
390,9.3711,9.4043,34.7012,34.7019,26.8315
380,9.5795,9.5912,34.7146,34.7111,26.8075
370,9.8481,9.8581,34.7367,34.7337,26.7798
360,10.0046,9.9998,34.7448,34.7429,26.7595
350,10.0841,10.0891,34.7485,34.7455,26.7486
340,10.2493,10.2606,34.7604,34.7597,26.7294
330,10.4319,10.4218,34.7723,34.7697,26.7067
320,10.5166,10.5177,34.7777,34.7752,26.6959
310,10.6654,10.6657,34.786,34.7866,26.676
300,10.8977,10.8851,34.7995,34.7991,26.645
290,11.0169,11.0233,34.8089,34.8077,26.6306
280,11.1879,11.1369,34.8214,34.8105,26.6091
270,11.4468,11.4381,34.8304,34.8298,26.5684
260,11.6085,11.6173,34.8431,34.8422,26.548
250,11.7417,11.7343,34.8507,34.8487,26.5288
240,11.9164,11.8939,34.8677,34.8638,26.5088
230,12.0772,12.067,34.8767,34.8752,26.4849
220,12.2226,12.2074,34.8813,34.8801,26.4603
210,12.3172,12.321,34.8871,34.8876,26.4462
200,12.4768,12.4766,34.896,34.8953,26.4219
190,12.5613,12.5486,34.9036,34.8988,26.411
180,12.7963,12.8025,34.9245,34.9216,26.3806
170,13.0665,13.0431,34.9433,34.9371,26.3409
160,13.3381,13.3822,34.959,34.9515,26.2978
150,13.7002,13.7015,34.9768,34.9764,26.2369
140,13.8896,13.887,34.9879,34.9819,26.2058
130,14.1349,14.1391,35.0074,35.0036,26.169
120,14.4459,14.4539,35.0179,35.0155,26.1107
110,15.2696,15.2926,35.0329,35.0347,25.9423
100,16.633,16.6193,35.0834,35.0639,25.6698
90,18.2426,18.2069,35.263,35.2506,25.4183
80,19.5333,19.328,35.4087,35.3533,25.201
70,21.6576,21.6887,35.5242,35.5204,24.7171
60,22.8968,22.972,35.5598,35.5711,24.3931
50,23.3653,23.3611,35.59,35.5919,24.2797
40,23.4566,23.4522,35.5968,35.5983,24.2576
30,23.5069,23.5056,35.59,35.5923,24.2371
20,23.5617,23.5667,35.5887,35.5904,24.2194
10,23.5888,23.5857,35.5897,35.5912,24.2116
