gpa,spor,gender,gpamale,sptmale,gpafemal,sptfemal,bbgpa,genderbb,sogpa,genderso,tkgpa,gendertk,gradept,gender2
2.78,3,1,2.78,3,2.08,1,1.95,1,2.39,3,2.78,5,1.95,1
2.8,3,1,2.8,3,2.56,2,1.96,1,2.46,3,2.8,5,1.96,1
2.39,2,1,2.39,2,2.37,2,2,1,2.29,3,2.71,5,2,1
2.71,3,1,2.71,3,2.46,2,1.99,1,2.57,3,2.64,5,1.99,1
2.46,2,1,2.46,2,3.12,3,1.83,1,2.32,3,2.74,5,1.83,1
2.64,3,1,2.64,3,2.3,2,1.93,1,2.41,3,3.1,5,1.93,1
2.74,3,1,2.74,3,2.47,2,1.99,1,2.43,3,2.77,5,1.99,1
2.29,2,1,2.29,2,3.05,3,2.03,1,2.29,3,2.75,5,2.03,1
3.1,3,1,3.1,3,2.5,2,1.88,1,2.32,3,3.02,5,1.88,1
1.95,1,1,1.95,1,2.63,2,2.1,1,2.39,3,2.86,5,2.1,1
2.77,3,1,2.77,3,3.01,3,2.08,2,2.24,3,2.92,5,2.08,2
2.75,3,1,2.75,3,2.1,1,2.1,2,2.3,3,2.84,5,2.1,2
1.96,1,1,1.96,1,2.57,2,2.12,2,2.34,3,2.9,5,2.12,2
2.57,2,1,2.57,2,2.47,2,2.37,2,2.42,3,2.85,5,2.37,2
3.02,3,1,3.02,3,2.38,2,2.21,2,2.43,3,2.76,5,2.21,2
2.86,3,1,2.86,3,2.12,1,2.11,2,2.56,4,2.93,5,2.11,2
2.92,3,1,2.92,3,2.46,2,2.16,2,2.37,4,2.76,5,2.16,2
2,1,1,2,1,2.37,1,2.35,2,2.46,4,2.7,5,2.35,2
1.99,1,1,1.99,1,2.21,1,2.19,2,2.3,4,2.69,5,2.19,2
2.32,2,1,2.32,2,3.06,3,2.29,2,2.47,4,2.74,5,2.29,2
2.84,3,1,2.84,3,2.97,3,2.5,2,2.5,4,2.67,5,2.5,2
1.83,1,1,1.83,1,2.87,3,2.25,2,2.63,4,3.02,5,2.25,2
2.9,3,1,2.9,3,2.11,1,2.22,2,2.57,4,2.67,5,2.22,2
2.41,2,1,2.41,2,2.16,1,2.25,2,2.47,4,2.82,5,2.25,2
2.85,3,1,2.85,3,2.35,1,2.32,2,2.38,4,2.63,5,2.32,2
2.43,2,1,2.43,2,2.53,2,2.19,2,2.46,4,3.12,6,2.19,2
1.93,1,1,1.93,1,3.14,3,2.29,2,2.53,4,3.05,6,2.29,2
2.29,2,1,2.29,2,2.98,3,,,2.55,4,3.01,6,2.39,3
2.76,3,1,2.76,3,2.55,2,,,2.49,4,3.06,6,2.46,3
2.93,3,1,2.93,3,2.19,1,,,2.47,4,2.97,6,2.29,3
2.32,2,1,2.32,2,2.49,2,,,2.61,4,2.87,6,2.57,3
2.76,3,1,2.76,3,2.29,1,,,2.38,4,3.14,6,2.32,3
2.39,2,1,2.39,2,2.47,2,,,2.52,4,2.98,6,2.41,3
1.99,1,1,1.99,1,2.98,3,,,2.42,4,2.98,6,2.43,3
2.24,2,1,2.24,2,2.5,1,,,2.43,4,3.07,6,2.29,3
2.03,1,1,2.03,1,2.61,2,,,,,3.05,6,2.32,3
1.88,1,1,1.88,1,2.25,1,,,,,3,6,2.39,3
2.1,1,1,2.1,1,2.38,2,,,,,3.1,6,2.24,3
2.7,3,1,2.7,3,2.22,1,,,,,,,2.3,3
2.69,3,1,2.69,3,2.52,2,,,,,,,2.34,3
2.74,3,1,2.74,3,2.42,2,,,,,,,2.42,3
2.67,3,1,2.67,3,2.25,1,,,,,,,2.43,3
3.02,3,1,3.02,3,3.07,3,,,,,,,2.56,4
2.3,2,1,2.3,2,2.32,1,,,,,,,2.37,4
2.34,2,1,2.34,2,2.19,1,,,,,,,2.46,4
2.67,3,1,2.67,3,2.29,1,,,,,,,2.3,4
2.82,3,1,2.82,3,3.05,3,,,,,,,2.47,4
2.42,2,1,2.42,2,3,3,,,,,,,2.5,4
2.63,3,1,2.63,3,3.1,3,,,,,,,2.63,4
2.43,2,1,2.43,2,2.43,2,,,,,,,2.57,4
2.08,1,2,,,,,,,,,,,2.47,4
2.56,2,2,,,,,,,,,,,2.38,4
2.37,2,2,,,,,,,,,,,2.46,4
2.46,2,2,,,,,,,,,,,2.53,4
3.12,3,2,,,,,,,,,,,2.55,4
2.3,2,2,,,,,,,,,,,2.49,4
2.47,2,2,,,,,,,,,,,2.47,4
3.05,3,2,,,,,,,,,,,2.61,4
2.5,2,2,,,,,,,,,,,2.38,4
2.63,2,2,,,,,,,,,,,2.52,4
3.01,3,2,,,,,,,,,,,2.42,4
2.1,1,2,,,,,,,,,,,2.43,4
2.57,2,2,,,,,,,,,,,2.78,5
2.47,2,2,,,,,,,,,,,2.8,5
2.38,2,2,,,,,,,,,,,2.71,5
2.12,1,2,,,,,,,,,,,2.64,5
2.46,2,2,,,,,,,,,,,2.74,5
2.37,1,2,,,,,,,,,,,3.1,5
2.21,1,2,,,,,,,,,,,2.77,5
3.06,3,2,,,,,,,,,,,2.75,5
2.97,3,2,,,,,,,,,,,3.02,5
2.87,3,2,,,,,,,,,,,2.86,5
2.11,1,2,,,,,,,,,,,2.92,5
2.16,1,2,,,,,,,,,,,2.84,5
2.35,1,2,,,,,,,,,,,2.9,5
2.53,2,2,,,,,,,,,,,2.85,5
3.14,3,2,,,,,,,,,,,2.76,5
2.98,3,2,,,,,,,,,,,2.93,5
2.55,2,2,,,,,,,,,,,2.76,5
2.19,1,2,,,,,,,,,,,2.7,5
2.49,2,2,,,,,,,,,,,2.69,5
2.29,1,2,,,,,,,,,,,2.74,5
2.47,2,2,,,,,,,,,,,2.67,5
2.98,3,2,,,,,,,,,,,3.02,5
2.5,1,2,,,,,,,,,,,2.67,5
2.61,2,2,,,,,,,,,,,2.82,5
2.25,1,2,,,,,,,,,,,2.63,5
2.38,2,2,,,,,,,,,,,3.12,6
2.22,1,2,,,,,,,,,,,3.05,6
2.52,2,2,,,,,,,,,,,3.01,6
2.42,2,2,,,,,,,,,,,3.06,6
2.25,1,2,,,,,,,,,,,2.97,6
3.07,3,2,,,,,,,,,,,2.87,6
2.32,1,2,,,,,,,,,,,3.14,6
2.19,1,2,,,,,,,,,,,2.98,6
2.29,1,2,,,,,,,,,,,2.98,6
3.05,3,2,,,,,,,,,,,3.07,6
3,3,2,,,,,,,,,,,3.05,6
3.1,3,2,,,,,,,,,,,3,6
2.43,2,2,,,,,,,,,,,3.1,6
