Winning team,winner score,Losing team,loser score,margin
Green Bay Packers,35,Kansas City Chiefs,10,25
Green Bay Packers,33,Oakland Raiders,14,19
New York Jets,16,Baltimore Colts,7,9
Kansas City Chiefs,23,Minnesota Vikings,7,16
Baltimore Colts,16,Dallas Cowboys,13,3
Dallas Cowboys,24,Miami Dolphins,3,21
Miami Dolphins,14,Washington Redskins,7,7
Miami Dolphins,24,Minnesota Vikings,7,17
Pittsburgh Steelers,16,Minnesota Vikings,6,10
Pittsburgh Steelers,21,Dallas Cowboys,17,4
Oakland Raiders,32,Minnesota Vikings,14,18
Dallas Cowboys,27,Denver Broncos,10,17
Pittsburgh Steelers,35,Dallas Cowboys,31,4
Pittsburgh Steelers,31,Los Angeles Rams,19,12
Oakland Raiders,27,Philadelphia Eagles,10,17
San Francisco 49ers,26,Cincinnati Bengals,21,5
Washington Redskins,27,Miami Dolphins,17,10
Los Angeles Raiders,38,Washington Redskins,9,29
San Francisco 49ers,38,Miami Dolphins,16,22
Chicago Bears,46,New England Patriots,10,36
New York Giants,39,Denver Broncos,20,19
Washington Redskins,42,Denver Broncos,10,32
San Francisco 49ers,20,Cincinnati Bengals,16,4
San Francisco 49ers,55,Denver Broncos,10,45
New York Giants,20,Buffalo Bills,19,1
Washington Redskins,37,Buffalo Bills,24,13
Dallas Cowboys,52,Buffalo Bills,17,35
Dallas Cowboys,30,Buffalo Bills,13,17
San Francisco 49ers,49,San Diego Chargers,26,23
Dallas Cowboys,27,Pittsburgh Steelers,17,10
Green Bay Packers,35,New England Patriots,21,14
Denver Broncos,31,Green Bay Packers,24,7
Denver Broncos,34,Atlanta Falcons,19,15
St Louis Rams,23,Tennessee Titans,16,7
Baltimore Ravens,34,New York Giants,7,27
