Acura,Ferrari,Lotus,Porsche,Viper,speed,car
159.7,179.6,167.4,173.5,172.3,159.7,1
161.5,173.9,163,182.4,168.9,161.5,1
163.7,180.2,160.3,171.3,169.5,163.7,1
166,183.9,164.9,175.7,174.6,166,1
157.7,176.7,160.5,179.1,161.1,157.7,1
161.7,178.4,158.3,175,164.2,161.7,1
,,,,,179.6,2
,,,,,173.9,2
,,,,,180.2,2
,,,,,183.9,2
,,,,,176.7,2
,,,,,178.4,2
,,,,,167.4,3
,,,,,163,3
,,,,,160.3,3
,,,,,164.9,3
,,,,,160.5,3
,,,,,158.3,3
,,,,,173.5,4
,,,,,182.4,4
,,,,,171.3,4
,,,,,175.7,4
,,,,,179.1,4
,,,,,175,4
,,,,,172.3,5
,,,,,168.9,5
,,,,,169.5,5
,,,,,174.6,5
,,,,,161.1,5
,,,,,164.2,5
