day,hour,3,tmp,vdc,wd,ws,amb,dew,so2,no,no2,nox,co,co2,gas,air
,1:00,22,23.1,1.47,203,0.2,17.9,15.8,0,0,0.4,0.4,0.6,0.6,-1.5,-0.06
,2:00,21,23.2,1.47,22,0.4,17.4,15.4,0,0,0.2,0.2,0.6,0.6,-1.5,-0.06
,3:00,17,23.4,1.47,90,0.1,17,14.9,-0.1,0.1,0.1,0.2,0.6,0.6,-1.5,-0.06
,4:00,13,23.6,1.47,50,1.3,16.2,14.4,-0.1,0,-0.1,-0.1,0.6,0.6,-1.5,-0.06
,5:00,12,23.7,1.47,39,2.5,15.6,14.3,-0.1,0.1,-0.1,0,0.6,0.6,-1.5,-0.06
,6:00,17,23.9,1.47,0,0,16.1,14.1,-0.1,0.1,0,0.1,0.6,0.6,-1.5,-0.06
,7:00,14,22.7,1.47,236,0.2,17.4,16,-0.1,0.8,0.9,1.7,0.6,0.6,-1.5,-0.06
,8:00,20,21.7,1.47,178,0.8,20.5,19.4,0,0.4,0.6,0.9,0.6,0.6,-1.4,-0.06
,9:00,30,22.6,1.47,89,1.4,22.7,23.2,0.2,0.4,1.3,1.7,0.6,0.6,-1.4,-0.06
,10:00,41,23.7,1.47,76,1.6,24.5,21.9,0.4,0.2,0.8,0.9,0.6,0.6,-1.5,-0.06
,11:00,48,24.7,1.47,207,1.4,25.9,18.1,0.4,0.3,0.8,1.1,0.6,0.6,-1.5,-0.06
,12:00,56,25.4,1.47,192,1.9,27,18.1,0.6,0.1,1.3,1.4,0.7,0.7,-1.5,-0.07
,13:00,60,26.2,1.47,181,1.8,27.8,18,0.6,0.2,2.1,2.2,0.7,0.7,-1.6,-0.07
,14:00,56,26.9,1.47,184,2.4,28.2,17.8,0.6,0.2,2.3,2.4,0.7,0.7,-1.6,-0.07
,15:00,55,27.6,1.47,199,2.2,28,17.8,0.5,0.2,2.9,3.1,0.7,0.7,-1.6,-0.07
,16:00,55,27.9,1.47,202,2,27.2,18.1,0.4,0.2,3.1,3.3,0.7,0.7,-1.7,-0.07
,17:00,58,27.7,1.47,199,1.5,26.1,18,0.5,0.1,3.3,3.4,0.7,0.7,-1.7,-0.07
,18:00,47,27,1.47,254,0.7,24.6,19.2,0.6,0,2.8,2.8,0.7,0.7,-1.7,-0.07
,19:00,34,26,1.47,265,1,22.9,19.4,0.3,0,1.9,2,0.7,0.7,-1.6,-0.07
,20:00,27,24.9,1.47,0,0.1,21.5,19.4,0.2,0,1.3,1.3,0.7,0.7,-1.6,-0.07
,21:00,28,23.9,1.47,251,0.1,20.7,18.8,0.2,0,0.8,0.8,0.6,0.7,-1.5,-0.07
,22:00,,23.4,1.47,211,0.2,19.9,18,,,,,0.6,0.6,-1.5,-0.06
,23:00,,23.7,1.47,228,0.8,19.1,17.3,,,,,,,,
,0:00,,22.9,1.47,172,0.7,18.5,16.8,,,,,,,-1.7,
,1:00,18,22.9,1.47,44,1.9,17.5,16.2,0,0,0.2,0.2,0.6,0.6,-1.5,-0.06
,2:00,15,23.1,1.47,50,0.7,17.2,15.9,-0.1,0,0.1,0.1,0.6,0.6,-1.5,-0.06
,3:00,20,23,1.47,315,0.6,17.5,15.8,0,0,0.3,0.3,0.6,0.6,-1.5,-0.06
,4:00,15,23.1,1.47,54,1.6,17,15.5,-0.1,0,0.3,0.3,0.7,0.7,-1.5,-0.06
,5:00,16,23,1.47,45,0.5,17.1,15.8,-0.1,0.3,0.8,1.1,0.6,0.6,-1.5,-0.06
,6:00,14,22.6,1.47,63,0.1,17.2,16.5,-0.1,0.7,0.8,1.5,0.6,0.6,-1.5,-0.06
,7:00,10,21.5,1.47,207,0.2,18.3,18.4,0,1,1.3,2.3,0.6,0.7,-1.4,-0.06
,8:00,11,21.6,1.47,326,0.1,19.6,19.9,0.1,0.8,2.5,3.3,0.6,0.7,-1.4,-0.06
,9:00,14,21.5,1.47,90,2.6,20.8,22.5,0.1,0.5,0.9,1.4,0.7,0.7,-1.4,-0.06
,10:00,37,22.1,1.47,108,1.7,23,20.1,0.5,0.3,1.5,1.8,0.6,0.7,-1.4,-0.06
,11:00,43,23.3,1.47,176,1.9,25,18.8,0.3,0.2,1.5,1.7,0.6,0.6,-1.4,-0.06
,12:00,38,24.2,1.47,194,2.1,25.3,18.9,0.2,0.2,1.1,1.2,0.6,0.6,-1.5,-0.06
,13:00,37,24.5,1.47,222,1,22.7,20.4,0.8,0.3,2,2.3,0.7,0.7,-1.5,-0.06
,14:00,39,24.7,1.47,191,2.1,24.3,21.3,1.1,0.6,1.9,2.5,0.6,0.7,-1.5,-0.07
,15:00,39,25.1,1.47,183,2.1,24.9,20.2,0.2,0.3,0.9,1.1,0.6,0.6,-1.5,-0.07
,16:00,42,25.4,1.47,196,1.9,25.1,20,0.6,0.2,1.2,1.4,0.6,0.7,-1.6,-0.07
,17:00,38,25.4,1.47,191,0.9,24.1,20.7,1.1,0.2,1.8,2,0.7,0.7,-1.6,-0.07
,18:00,30,25,1.47,204,0.7,23,20.9,0.4,0.1,2.1,2.2,0.7,0.7,-1.6,-0.07
,19:00,30,24.3,1.47,279,2,21.3,20.4,0.1,0.1,1.2,1.3,0.6,0.6,-1.5,-0.07
,20:00,24,23.6,1.47,255,1.3,21,20.3,0.3,0.1,1.8,1.8,0.6,0.6,-1.5,-0.06
,21:00,23,22.9,1.47,222,1.2,21,20.3,0.3,0,2.3,2.3,0.6,0.6,-1.5,-0.06
,22:00,,22.8,1.47,215,1.2,20.9,20.3,,,,,0.6,0.6,-1.5,-0.06
,23:00,,23.5,1.47,207,2,20.9,20.3,,,,,,,,
,0:00,,22.8,1.47,209,2.1,21,20.7,,,,,,,-1.6,
,1:00,22,22,1.47,214,2.3,20.9,20.7,-0.1,0,1.3,1.3,0.6,0.6,-1.5,-0.06
,2:00,20,21.5,1.47,217,2,20.7,20.4,-0.2,0,1.4,1.4,0.6,0.6,-1.4,-0.06
,3:00,19,21.1,1.47,217,1.5,20.7,20.3,-0.2,0,1.5,1.5,0.5,0.6,-1.4,-0.06
,4:00,18,21.5,1.47,228,0.4,20.4,19.7,-0.1,0.2,2,2.2,0.6,0.6,-1.4,-0.06
,5:00,21,21.4,1.47,207,0.6,20,19.3,-0.1,0.1,1.6,1.7,0.6,0.6,-1.4,-0.06
,6:00,17,21.5,1.47,267,1.1,19.8,19.6,-0.1,0.7,2.3,3,0.6,0.6,-1.4,-0.06
,7:00,20,21.5,1.47,258,2.2,19.8,19.7,-0.1,0.1,1.1,1.2,0.6,0.6,-1.4,-0.06
,8:00,21,21.1,1.47,247,2,20.7,20,0,0.3,1.1,1.4,0.6,0.6,-1.4,-0.06
,9:00,20,21.1,1.47,242,2,21.2,20.5,0.2,0.5,2.2,2.7,0.6,0.6,-1.4,-0.06
,10:00,18,25.2,1.47,270,2.2,21.4,20.9,,,,,,0.5,2.7,
,11:00,7,28,1.47,237,3.2,22.9,17.4,,,,,,0.4,20.8,
,12:00,28,29.3,1.47,219,2.7,24.9,17.2,,,,,,1.5,13.1,
,13:00,39,27.8,1.47,246,2.4,25.9,19.7,0.2,0.2,1.4,1.7,0.7,0.7,-1.7,-0.08
,14:00,34,27.3,1.47,179,1.2,25.7,20.2,0.2,0.4,2.1,2.5,0.7,0.7,-1.6,-0.07
,15:00,33,27.1,1.47,184,1.5,26.1,19.9,0.1,0.2,1.5,1.8,0.7,0.7,-1.6,-0.07
,16:00,32,26.7,1.47,245,5,21.8,20,-0.1,0.1,1.4,1.5,0.7,0.7,-1.6,-0.07
,17:00,30,25.7,1.47,254,2.1,20.3,19.4,-0.1,0.1,1,1.1,0.6,0.6,-1.6,-0.07
,18:00,22,24.7,1.47,255,1.5,20.4,19.4,-0.1,0.3,1.2,1.5,0.7,0.7,-1.6,-0.07
,19:00,15,23.8,1.47,71,0.7,20,19.5,-0.2,0.1,0.6,0.7,0.6,0.6,-1.5,-0.07
,20:00,10,23,1.47,38,1.1,19.5,19.2,-0.2,0.1,0.6,0.7,0.6,0.6,-1.5,-0.06
,21:00,11,22.2,1.47,27,0.9,19.3,18.9,-0.2,0,0.1,0.2,0.6,0.6,-1.4,-0.06
,22:00,,22,1.47,90,0.1,19.2,18.8,,,,,0.6,0.6,-1.4,-0.06
,23:00,,22.6,1.47,292,0.5,19.1,18.5,,,,,,,,
,0:00,,21.9,1.47,253,1.2,18.7,18.1,,,,,,,-1.6,
,1:00,8,21.6,1.47,19,0.6,18.5,18.4,-0.2,0,0.4,0.4,0.6,0.6,-1.4,-0.06
,2:00,4,21.7,1.47,344,0.5,17.8,17.8,-0.2,0,-0.3,-0.2,0.6,0.6,-1.4,-0.06
,3:00,4,21.7,1.47,42,0.7,17.8,18,-0.2,0,0.1,0.1,0.6,0.6,-1.4,-0.06
,4:00,4,21.9,1.47,60,0.7,17.8,17.9,-0.2,0,0.6,0.6,0.6,0.6,-1.4,-0.06
,5:00,3,21.9,1.47,270,0.3,17.4,17.6,-0.2,1,1.2,2.1,0.6,0.6,-1.4,-0.06
,6:00,2,21.9,1.47,315,0.2,17.5,17.5,-0.2,0.9,1.4,2.3,0.6,0.6,-1.4,-0.06
,7:00,5,21.7,1.47,93,0.5,17.7,18,-0.1,0.8,0.4,1.1,0.6,0.6,-1.4,-0.06
,8:00,8,21.4,1.47,300,0.2,18.6,19.2,-0.1,0.4,-0.1,0.3,0.6,0.6,-1.4,-0.06
,9:00,10,21.1,1.47,113,0.6,20,19.5,-0.1,0.4,-0.1,0.3,0.6,0.6,-1.4,-0.06
,10:00,15,21.5,1.47,211,0.7,22.2,19.9,-0.1,0.4,0.1,0.5,0.6,0.6,-1.4,-0.06
,11:00,27,22.6,1.47,75,0.9,24.4,19.6,0.1,0.3,0.1,0.3,0.6,0.6,-1.4,-0.06
,12:00,37,23.6,1.47,122,2.3,25.9,19,0.2,0.1,0.3,0.5,0.6,0.6,-1.4,-0.06
,13:00,39,24.4,1.47,108,1.4,26.2,19.2,0.2,0.2,0.4,0.6,0.6,0.6,-1.5,-0.06
,14:00,44,25.3,1.47,122,3.1,26.5,19.2,0.4,0.3,1.2,1.5,0.7,0.7,-1.5,-0.07
,15:00,41,25.8,1.47,142,3.9,25.9,19.2,0.1,0.4,1.7,2,0.7,0.7,-1.6,-0.07
,16:00,41,26.1,1.47,163,0.7,25.9,19.3,0.1,0.2,1.9,2.2,0.7,0.7,-1.6,-0.07
,17:00,29,26,1.47,349,0.3,25,20.7,0.1,0.1,1.4,1.5,0.7,0.7,-1.6,-0.07
,18:00,28,25.5,1.47,289,1.7,22.7,20.7,-0.1,0,0.8,0.9,0.7,0.7,-1.6,-0.07
,19:00,23,24.7,1.47,231,1.3,21.2,20.5,-0.1,0.3,1.4,1.6,0.7,0.7,-1.5,-0.07
,20:00,16,23.9,1.47,238,1,20.8,20.2,0,0.3,1.9,2.2,0.7,0.7,-1.5,-0.07
,21:00,11,23.1,1.47,45,0.7,20.5,20,-0.1,0.3,1,1.3,0.7,0.7,-1.5,-0.06
,22:00,,23,1.47,35,3.2,20.6,20,,,,,0.6,0.6,-1.5,-0.06
,23:00,,23.6,1.47,41,1.1,20.5,19.7,,,,,,,,
,0:00,,22.8,1.47,0,0.5,20.1,19.3,,,,,,,-1.6,
,1:00,9,21.8,1.47,174,0.3,20,19.7,0,0.1,0.8,0.9,0.7,0.7,-1.5,-0.06
,2:00,9,21.6,1.47,2,1.1,20,19.8,0,0,0.1,0.1,0.6,0.6,-1.4,-0.06
,3:00,13,21.4,1.47,52,3,19.9,19.7,0.1,0,0.2,0.2,0.6,0.6,-1.4,-0.06
,4:00,13,21.4,1.47,65,1.6,19.5,19.4,0.1,0,0,0.1,0.6,0.6,-1.4,-0.06
,5:00,11,21.6,1.47,48,1.8,19.5,19.4,0,0,0.2,0.2,0.6,0.6,-1.4,-0.06
,6:00,14,21.6,1.47,57,2.3,19.5,19.8,0,0,0.1,0.2,0.6,0.6,-1.4,-0.06
,7:00,15,21.4,1.47,47,1.9,19.6,20,-0.1,0.1,0.2,0.3,0.6,0.6,-1.4,-0.06
,8:00,17,21.4,1.47,40,2.9,19.8,20.1,-0.1,0.1,0.4,0.4,0.6,0.6,-1.4,-0.06
,9:00,18,21.4,1.47,40,3.3,20.1,20.1,-0.1,0.1,0.3,0.4,0.6,0.6,-1.4,-0.06
,10:00,20,21.1,1.47,57,2.6,20.9,20.5,-0.1,0.2,0.5,0.6,0.6,0.6,-1.4,-0.06
,11:00,23,21.1,1.47,56,2.8,21.1,20.6,0.2,0.2,1,1.2,0.6,0.6,-1.4,-0.06
,12:00,29,21.3,1.47,52,1.3,22.2,20.8,0.6,0.3,1.2,1.4,0.6,0.6,-1.4,-0.06
,13:00,33,22,1.47,57,0.9,23.7,20.6,0.3,0.2,0.8,0.9,0.6,0.6,-1.4,-0.06
,14:00,35,22.7,1.47,67,3.2,24,20.6,0.3,0.1,0.5,0.6,0.6,0.6,-1.4,-0.06
,15:00,33,23.3,1.47,91,4.8,23.4,20.8,0.4,0.1,1.1,1.2,0.7,0.7,-1.5,-0.06
,16:00,26,23.2,1.47,119,3.8,21.1,20.6,0.4,0.3,4.1,4.3,0.7,0.7,-1.5,-0.06
,17:00,19,22.8,1.47,95,1,20.8,20.6,0.1,0.1,4.2,4.3,0.7,0.7,-1.5,-0.06
,18:00,16,22.3,1.47,353,0.2,20.6,20.4,0,0.1,3,3.1,0.7,0.7,-1.4,-0.06
,19:00,18,21.9,1.47,42,0.9,20.3,20.2,-0.1,0,2.1,2.1,0.6,0.7,-1.4,-0.06
,20:00,17,21.5,1.47,297,0.2,20.1,20,0,0.1,2,2.1,0.6,0.6,-1.4,-0.06
,21:00,13,21.3,1.47,329,0.2,20,19.9,0,0,1.1,1.1,0.6,0.6,-1.4,-0.06
