crefstk,crefgwt,tiaa,date
179.2874,79.6563,71.9043,4/16/99
179.2874,79.6563,71.9043,4/17/99
179.2874,79.6563,71.9043,4/18/99
176.4544,77.4444,70.3376,4/19/99
177.6715,78.6349,71.2485,4/20/99
180.9605,81.1798,72.9386,4/21/99
183.5893,82.7969,74.046,4/22/99
183.4702,82.7962,73.993,4/23/99
183.4702,82.7962,73.993,4/24/99
183.4702,82.7962,73.993,4/25/99
183.9652,83.2341,74.1837,4/26/99
184.6464,82.7429,74.3246,4/27/99
183.5925,80.6728,73.7613,4/28/99
182.7078,79.8319,73.4239,4/29/99
182.0172,79.8048,73.0737,4/30/99
182.0172,79.8048,73.0737,5/1/99
182.0172,79.8048,73.0737,5/2/99
184.0638,80.9053,74.0213,5/3/99
182.071,79.9542,72.9513,5/4/99
183.4859,80.7988,73.7493,5/5/99
182.2438,79.8481,72.9204,5/6/99
183.4885,80.6137,73.6121,5/7/99
183.4885,80.6137,73.6121,5/8/99
183.4885,80.6137,73.6121,5/9/99
183.2239,80.5168,73.506,5/10/99
184.7403,81.8542,74.3514,5/11/99
185.6908,83.0546,74.8763,5/12/99
186.2472,82.7698,75.0907,5/13/99
182.7033,81.0155,73.476,5/14/99
182.7033,81.0155,73.476,5/15/99
182.7033,81.0155,73.476,5/16/99
182.1066,81.3065,73.5528,5/17/99
181.7304,81.304,73.2265,5/18/99
183.0746,82.293,73.8591,5/19/99
182.7294,81.5858,73.6315,5/20/99
181.8144,80.7909,73.2354,5/21/99
181.8144,80.7909,73.2354,5/22/99
181.8144,80.7909,73.2354,5/23/99
179.0104,79.0698,71.908,5/24/99
176.3464,77.5541,70.695,5/25/99
178.1605,78.2066,71.6998,5/26/99
175.6902,77.5698,70.6231,5/27/99
177.7922,78.5629,71.6602,5/28/99
177.7922,78.5629,71.6602,5/29/99
177.7922,78.5629,71.6602,5/30/99
177.8009,78.5629,71.6582,5/31/99
177.2413,78.1514,71.2134,6/1/99
177.4634,78.105,71.3066,6/2/99
177.9172,78.4723,71.4748,6/3/99
180.9359,80.6099,72.9192,6/4/99
180.9359,80.6099,72.9192,6/5/99
180.9359,80.6099,72.9192,6/6/99
182.2608,80.9777,73.3651,6/7/99
180.8019,79.9498,72.441,6/8/99
181.2287,80.3114,72.5283,6/9/99
179.6073,79.248,71.6934,6/10/99
179.0328,78.6711,71.1929,6/11/99
179.0328,78.6711,71.1929,6/12/99
179.0328,78.6711,71.1929,6/13/99
178.4292,78.282,71.0528,6/14/99
179.2802,78.6342,71.4769,6/15/99
182.5208,81.0059,73.02,6/16/99
183.8162,81.8319,73.5472,6/17/99
184.3133,82.1299,73.6714,6/18/99
184.3133,82.1299,73.6714,6/19/99
184.3133,82.1299,73.6714,6/20/99
185.2775,82.7463,74.0603,6/21/99
183.8685,82.0744,73.3829,6/22/99
183.3198,82.1535,73.287,6/23/99
181.2134,81.2387,72.3395,6/24/99
181.3486,81.0377,72.3048,6/25/99
181.3486,81.0377,72.3048,6/26/99
181.3486,81.0377,72.3048,6/27/99
182.9973,82.0373,73.2001,6/28/99
185.195,83.399,74.2776,6/29/99
187.155,84.547,75.3291,6/30/99
188.8815,85.5311,75.8036,7/1/99
190.182,86.2072,76.3555,7/2/99
190.182,86.2072,76.3555,7/3/99
190.182,86.2072,76.3555,7/4/99
190.182,86.2072,76.3555,7/5/99
190.2652,85.811,76.2292,7/6/99
190.5643,85.5418,76.5019,7/7/99
190.3942,85.8978,76.4767,7/8/99
191.2774,86.4219,76.9211,7/9/99
191.2774,86.4219,76.9211,7/10/99
191.2774,86.4219,76.9211,7/11/99
190.9281,86.1639,76.7367,7/12/99
190.1298,85.9537,76.4517,7/13/99
191.0667,86.7183,76.7669,7/14/99
192.8211,87.3817,77.414,7/15/99
193.4332,88.0665,77.829,7/16/99
193.4332,88.0665,77.829,7/17/99
193.4332,88.0665,77.829,7/18/99
192.2147,87.4094,77.2048,7/19/99
188.9774,85.1378,75.5749,7/20/99
189.2036,85.543,75.7745,7/21/99
186.9171,83.6995,74.8532,7/22/99
186.066,83.6366,74.6517,7/23/99
186.066,83.6366,74.6517,7/24/99
186.066,83.6366,74.6517,7/25/99
184.901,82.4992,74.0201,7/26/99
186.742,83.8366,74.8509,7/27/99
187.216,84.2068,74.9448,7/28/99
184.4706,82.3992,73.6522,7/29/99
183.9577,81.9042,73.1228,7/30/99
183.9564,81.9041,73.1221,7/31/99
183.9564,81.9041,73.1221,8/1/99
183.7238,82.0637,73.0315,8/2/99
182.9151,81.4767,72.5661,8/3/99
180.9471,79.9538,72.542,8/4/99
181.2525,80.2083,73.2305,8/5/99
179.6729,79.4373,73.2305,8/6/99
179.6729,79.4373,73.2305,8/7/99
179.6729,79.4373,74.4696,8/8/99
179.2022,79.0597,74.5766,8/9/99
177.0173,77.8576,75.4403,8/10/99
