gallons,number,ln(no),index
4.2,,,1
7.2,2,0.693147182,2
8.4,12,2.484906673,3
8,35,3.555348158,4
5.2,23,3.135494232,5
6,29,3.367295742,6
5,24,3.178053856,7
5.6,8,2.079441547,8
4,6,1.791759491,9
3.6,20,2.995732307,10
6,25,3.218875885,11
7.6,22,3.091042519,12
7.8,21,3.044522524,13
6.4,42,3.737669706,14
3.6,21,3.044522524,15
4,8,2.079441547,16
3.4,6,1.791759491,17
2.4,10,2.302585125,18
3.9,11,2.397895336,19
0,12,2.484906673,20
0,4,1.386294365,21
0,2,0.693147182,22
0,5,1.609437943,23
0,2,0.693147182,24
0,9,2.197224617,25
0,9,2.197224617,26
0,2,0.693147182,27
0,4,1.386294365,28
0,4,1.386294365,29
0,5,1.609437943,30
0.6,2,0.693147182,31
1.8,14,2.639057398,32
2.4,2,0.693147182,33
2,7,1.945910096,34
2,1,0,35
1.7,30,3.401197433,36
1.6,9,2.197224617,37
3.6,19,2.944438934,38
4,11,2.397895336,39
6.4,38,3.637586117,40
8.9,62,4.127134323,41
5.4,48,3.871201038,42
6.4,87,4.465908051,43
3.8,5,1.609437943,44
