velocity,output,SRES1,FITS1,1/velocity,SRES2,FITS2
2.45,0.123,-2.716487885,0.72168988,0.408163265,-0.312546819,0.148432747
2.7,0.5,-1.271023393,0.781977117,0.37037037,1.051787972,0.410509348
2.9,0.653,-0.794871688,0.830206931,0.344827586,0.750358224,0.587637067
3.05,0.558,-1.378494263,0.866379201,0.327868852,-1.668349028,0.705238104
3.4,1.057,0.471346527,0.950781345,0.294117647,1.306681275,0.939287484
3.6,1.137,0.610036969,0.99901104,0.277777778,0.929891229,1.052596927
3.95,1.144,0.266295522,1.083413243,0.253164557,-0.865965903,1.223278522
4.1,1.194,0.326349705,1.119585514,0.243902439,-1.018937945,1.287507057
4.6,1.562,1.402755499,1.240159869,0.217391304,0.983437777,1.471349835
5,1.582,1.065595865,1.336619496,0.2,-0.107845895,1.591950655
5.45,1.501,0.241920069,1.445136428,0.183486239,-2.227912664,1.706466198
5.8,1.737,0.897338331,1.529538631,0.172413793,-0.502027571,1.783248663
6,1.822,1.056049466,1.577768326,0.166666667,-0.011974087,1.823102236
6.2,1.866,1.037715554,1.62599802,0.161290323,0.061058905,1.860384703
6.35,1.93,1.158203959,1.66217041,0.157480315,0.470022142,1.886805415
7,1.8,-0.082002327,1.818917155,0.142857143,-2.055199385,1.98821044
7.4,2.088,0.750477016,1.915376782,0.135135135,0.506097317,2.041759253
7.85,2.179,0.677451074,2.023893595,0.127388535,0.916531205,2.095478296
8.15,2.166,0.305883229,2.096238375,0.122699387,0.417772979,2.127995491
8.8,2.112,-0.624852419,2.252985239,0.113636364,-0.869930625,2.190843344
9.1,2.303,-0.099569492,2.325330019,0.10989011,0.952444315,2.216822147
9.55,2.294,-0.630143523,2.433846951,0.104712042,0.457234591,2.252729654
9.7,2.386,-0.380056053,2.470019102,0.103092784,1.35317421,2.263958454
10,2.236,-1.397441149,2.542363882,0.1,-0.54865092,2.285405397
10.2,2.31,-1.287631869,2.590593576,0.098039216,0.122250073,2.299002647
