1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,SSN,year
166.6,159.6,114,111.2,84.3,57,16.5,2.5,10.4,59,161.3,177.3,136.9,150,59.3,57.8,24.2,11.5,5.7,31.9,62,90.2,166.6,79
137.5,155,141.3,163.6,51,85.4,15.9,23.2,2.4,40,165.1,130.5,167.5,161.1,91,35.5,29.9,4.4,7.6,40.3,66.3,112.3,137.5,79
138,126.2,135.5,153.8,66.5,83.5,17.2,15.1,14.8,76.2,131.4,140.3,141.9,106.7,69.8,31.7,31.1,9.2,8.7,54.8,68.8,138.2,138,79
101.5,164.1,156.4,122,80.7,69.7,16.2,18.5,39.3,88,130.6,140.3,140,99.8,62.2,16.1,14,4.8,15.5,53.4,63.7,,101.5,79
134.4,179.9,127.5,82.2,99.2,76.4,27.5,13.7,30.6,60.1,138.5,132.2,121.3,73.8,61.3,17.8,14.5,5.5,18.5,56.3,106.4,,134.4,79
149.5,157.3,90.9,110.4,91.1,46.1,24.2,1.1,17.5,101.8,196.2,105.4,169.7,65.2,49.8,28,15.6,11.8,12.7,70.6,137.6,,149.5,79
159.4,136.3,143.8,106.1,82.2,37.4,30.7,18.1,33,113.8,126.9,149.4,173.7,85.7,57.9,35.1,14.5,8.2,10.4,66.2,113.5,,159.4,79
142.2,135.4,158.7,107.6,71.8,25.5,11.1,7.4,38.6,111.6,168.9,200.3,176.3,64.5,42.2,22.5,14.3,14.4,24.4,91.7,93.7,,142.2,79
188.4,155,167.3,118.8,50.3,15.7,3.9,3.8,33.5,120.1,176.7,125.2,125.3,63.9,22.4,25.7,11.8,1.6,51.3,92.9,70.9,,188.4,79
186.2,164.7,162.4,94.7,55.8,12,18.6,35.5,60.5,125.1,159.4,145.5,144.1,88.7,56.4,43.8,21.1,0.9,22.8,55.6,116.4,,186.2,79
183.3,147.9,137.5,98.1,33.4,22.8,16.2,14.7,39.9,125.1,173,131.4,108.2,91.8,35.6,18,9,17.9,39,73.6,132.7,,183.3,79
176.3,174.4,150.1,127,33.4,18.7,17.3,6.7,27.1,179.2,165.5,129.7,144.4,82.6,48.9,26.7,10,13.3,41.2,81.6,86.4,,176.3,79
,,,,,,,,,,,,,,,,,,,,,,159.6,80
,,,,,,,,,,,,,,,,,,,,,,155,80
,,,,,,,,,,,,,,,,,,,,,,126.2,80
,,,,,,,,,,,,,,,,,,,,,,164.1,80
,,,,,,,,,,,,,,,,,,,,,,179.9,80
,,,,,,,,,,,,,,,,,,,,,,157.3,80
,,,,,,,,,,,,,,,,,,,,,,136.3,80
,,,,,,,,,,,,,,,,,,,,,,135.4,80
,,,,,,,,,,,,,,,,,,,,,,155,80
,,,,,,,,,,,,,,,,,,,,,,164.7,80
,,,,,,,,,,,,,,,,,,,,,,147.9,80
,,,,,,,,,,,,,,,,,,,,,,174.4,80
,,,,,,,,,,,,,,,,,,,,,,114,81
,,,,,,,,,,,,,,,,,,,,,,141.3,81
,,,,,,,,,,,,,,,,,,,,,,135.5,81
,,,,,,,,,,,,,,,,,,,,,,156.4,81
,,,,,,,,,,,,,,,,,,,,,,127.5,81
,,,,,,,,,,,,,,,,,,,,,,90.9,81
,,,,,,,,,,,,,,,,,,,,,,143.8,81
,,,,,,,,,,,,,,,,,,,,,,158.7,81
,,,,,,,,,,,,,,,,,,,,,,167.3,81
